,Clue,Answer,Explanation
59,Geneva Convention extremely complex with European payback (9) ,VENGEANCE,"Definition: payback
 **Anagram of** (complex) **GENEVA** and **CN** (**outer letters of** [extremely] **CONVENTION**) **+ E** (European)
 **VENGEANC*** **E**"
60,Bill knocked back wine in summer (5) ,ADDER,"Definition: summer
 **AD** (advertisement; poster; bill) **+ RED** (description of wine) **reversed** (back)
 **AD DER**<"
61,Witch in a Private Eye article is a problem for consumer (7) ,APHAGIA,"Definition: problem for consumer
 (**HAG** [witch] **contained in** [in] [**A +** **PI** {private investigator; private eye}]) **+ A** [indefinite] article)
 **A** **P** (**HAG**) **I** **A**"
62,Vitamin secret in olive extract (7) ,RETINOL,"Definition: Vitamin
 **RETINOL** (**hidden word in** [extract] **SECRET IN OLIVE OIL**)
 **RETINOL**"
63,I sort swimming trunks (5) ,TORSI,"Definition: trunks
 **Anagram of** (swimming) **I SORT**
 **TORSI***"
64,Party for small dog (3) ,LAB,"Definition: Party
 **LAB** (abbreviation for [small] **LAB**rador [breed of dog]) **double definition**
 **LAB**"
65,Ancient European articles (5) ,ELDER,"Definition: Ancient
 **EL** (Spanish [European] form of the definite article, the) **+ DER** (German [European] form of the definite article, the) giving European articles
 **EL DER**"
66,Worldly Lucie’s coming back wanting one afternoon with Romeo (7),SECULAR,"Definition: Worldly
 **LUCIE’S** **reversed** (coming back) **excluding** (wanting) **I** (Roman numeral for one) **+ A** (afternoon) **+ R** (Romeo is the international radio communication codeword for the letter **R**)
 **SECUL**< **A R**"
67,Meet at 1 on board empty ferry (7) ,SATISFY,"Definition: Meet
 (**AT + I** [Roman numeral for one]) **contained in** (onboard a ship [**SS**]) **SS** **+ FY** (**letters remaining in FERRY when the central letters ERR are removed** [empty])
 **S** (**AT I**) **S** **FY**"
68,Played his shot with Madame Defarge initially holding on (9) ,SHIMMERED,"Definition: Played
 **Anagram of** (shot) **HIS +** ([**MME** {Madame} + **D** {**first letter of** (initially)} **DEFARGE**] **containing** [holding] **RE **(with reference to; on)
 **SHI*** **MME** (**RE**) **D**"
69,Uncle Rod’s stray dog (9) ,SCOUNDREL,"Definition: dog
 **Anagram of** (stray) **UNCLE ROD’S**
 **SCOUNDREL***"
70,Darnay rejecting a novel full of lust (5) ,RANDY,"Definition: full of lust
 **Anagram of** (novel) **DARNAY** **excluding** (rejecting) **one of the A**s
 **RANDY***"
71,Wide boy heavyweight’s comeuppance (4) ,SPIV,"Definition: Wide boy
 **VIPS** (Very Important Persons’s; heavyweight’s) **reversed** (comeuppance; down entry)
 **SPIV**<"
72,Testing moment for singer after putting cocaine before career (8) ,CRUNCHER,"Definition: Testing moment
 **C + RUN** (race; career) **+ CHER** (reference **CHER**, American singer born 1946)
 **C RUN CHER**"
73,Man maybe endlessly fooled (4) ,ISLE,"Definition: Man maybe
 **MISLED** (fooled) **excluding the first and final letters** (endlessly) **M** and **D**
 **ISLE**"
74,"Revolutionary lecturer getting into Japan amateur wrestling (4-4,5)",JEAN-PAUL,"Definition: Revolutionary
 **L** (lecturer) **contained in** (getting into) **an anagram of** (wrestling) **JAPAN AMATEUR**
 **JEAN-PAU** (**L**) **MARAT***"
75,Problem involving United’s showboater (6) ,POSEUR,"Definition: showboater
 **POSER** (difficult question; puzzle; problem) **containing** (involving) **U** (united)
 **POSE** (**U**) **R**"
76,Dr Manette angry about power division in country (10) ,DEPARTMENT,"Definition: division in country
 **Anagram of** (angry) **DR MANETTE** **containing** (about) **P** (power)
 **DE** (**P**) **ARTMENT***"
77,League boss without working capital (6) ,LONDON,"Definition: capital
 (**L** [league] **+ DON** [Mafia boss]) **containing** (without [outside]) **ON** (working)
 **L** (**ON**) **DON**"
78,Some aristocrats are the enemy of the revolution (4) ,TSAR,"Definition: enemy of the revolution
 **TSAR** (**hidden word in** [some] **ARISTOCRATS ARE**)
 **TSAR**"
79,Nothing between key soprano singers (5) ,ALTOS,"Definition: singers
 **O** (character representing zero or nothing) **contained in** (between) (**ALT** [computer keyboard key] **+ S** [soprano])
 **ALT** (**O**) **S**"
80,Final fate of Sydney’s crop? (10),GUILLOTINE,"Definition: crop
 **GUILLOTINE** (in a Tale of Two Cities; **SYDNEY** Carton takes the place of Charles Darnay and is beheaded by the **GUILLOTINE**)
 **GUILLOTINE**"
81,House actor’s articulated vehicle (5) ,LORRY,"Definition: vehicle
 **LORRY** (sounds like [articulated) **LAURIE** (reference Hugh **LAURIE** [born 1959], English actor who play Gregory **HOUSE** in the Fox medical drama series **HOUSE**)
 **LORRY**"
82,Nick Bottom hiding cash box (8) ,BASTILLE,"Definition: Nick
 **BASE** (bottom) **containing** (hiding) **TILL** (cash box)
 **BAS** (**TILL**) **E**"
83,Hot for personal assistant in office close to Faubourg (8),DESIRING,"Definition: Hot for
 **SIRI** (Apple’s virtual assistant; personal assistant) **contained in** (in) **DEN** (office) **+ G** (**last letter of** [close to] **FAUBORG**)
 **DE** (**SIRI**) **N** **G**"
84,Tory without skill making a packet (6) ,CARTON,"Definition: packet
 **CON** (Conservative) **containing** (without [outside]) **ART** (skill)
 **C** (**ART**) **ON**"
85,How to get growth in to Worthing or Bognor? (6) ,RESORT,"Definition: Bognor
 **RESORT** (if your **RE-SORT** the letters of **GROWTH IN** you can form **WORTHING**)
 **RESORT**"
86,Tips from Marquis St Evrémonde embracing upperclass inspiration (4),MUSE,"Definition: inspiration
 **MSE** (**first letters of** [tips from] each of **MARQUIS**, **ST** and **EVRÉMONDE**) **containing** (embracing) **U** (upperclass)
 **M** (**U**) **SE**"
87,Horse trial (4) ,MARE,"Definition: Horse
 **MARE** (night**MARE**; horrifying experience; trial)
 **MARE**"
88,Periods of revolution a year in the case of Dickens (4) ,DAYS,"Definition: Periods of revolution
 (**A** **+ Y** [year]) **contained in** (in) **DS** (**letters forming the outside of** [case of] **DICKENS**)
 **D** (**A Y**) **S**"
89,Quietly long to pursue a new sense of style (7) ,PANACHE,"Definition: sense of style
 **P** (piano; quietly) **+ A + N** (new) **+ ACHE** (yearn; ache)
 **P A N ACHE**"
90,"International appearance by Bale, in trouble with qualification, … (7) ",CAPABLE,"Definition: with qualification
 **CAP** (players selected for an international appearance are often awarded a cap for each game they play) **+ an anagram of** (in trouble) **BALE** – Gareth **BALE** is a Welsh international footballer
 **CAP ABLE***"
91,… time and again losing head from temper (5) ,OFTEN,"Definition: time and again
 **SOFTEN** (temper) **excluding the first letter** (losing head from) **S**
 **OFTEN**"
92,Manually produce floating structure after a couple of taps? (9) ,HANDCRAFT,"Definition: Manually produce
 **H AND C** (reference **H**ot **AND C**old taps) **+ RAFT** (floating structure)
 **H AND C** **RAFT**"
93,"O’Neill’s put pickled item on the menu? (6,4) ",LENTIL SOUP,"Definition: item on the menu
 **Anagram of** (pickled) **O’NEILL’S PUT**
 **LENTIL SOUP***"
94,A little sleep at home then cocaine? This could have a galvanising effect! (4) ,ZINC,"Definition: This could have a galvanising effect
 **Z** (a short form [a little] of **ZIZZ** or **ZZZ**, both terms indicating sleep) **+** **IN** (at home) **+ C** (cocaine)
 **Z IN C**"
95,"Flower displayed by people supporting F1 Ferrari? (3,9) ",RED CARNATION,"Definition: Flower
 **RED CAR** (in Formula 1 racing, Ferrari **CAR**s have **RED** livery) **+** **NATION** (people)
 **RED CAR NATION**"
96,"Expansion following recent cycling feature in middle of the paper (6,6) ",CENTRE SPREAD,"Definition: feature in middle of the paper
 **CENTRE** (word formed by cycling **RECENT** two characters to the left) **+ SPREAD** (expansion)
 **CENTRE** **SPREAD**"
97,"Unsteady, regularly absent and had taken drugs (4) ",USED,"Definition: had taken drugs
 **USED** (**letters 1, 3, 5 and 7** [regularly] of **UNSTEADY**)
 **USED**"
98,"Reordered arsenic bottles, tea and sweetener (10) ",SACCHARINE,"Definition: sweetener
 **Anagram of** (reordered) **ARSENIC** **containing** (bottles) **CHA** (tea)
 **SAC** (**CHA**) **RINE***"
99,Senile and has confused language (9) ,SINHALESE,"Definition: language
 **Anagram of** (confused) **SENILE** and **HAS**
 **SINHALESE***"
100,Alaskan ice traps river crustaceans (5) ,KRILL,"Definition: crustaceans
 **KILL** (In America [Alaska] ‘to **ICE**‘ can mean ‘to kill’) **containing** (traps) **R** (river)
 **K** (**R**) **ILL**"
101,Regulars annually knocked back quick drink (7) ,PATRONS,"Definition: Regulars
 **PA** (per annum; annually) **+ SNORT** (informal term for a quick drink) **reversed** (knocked back)
 **PA** **TRONS**<"
102,In poor shape in Germany and with badly worn clothing (3-4) ,RUN-DOWN,"Definition: In poor shape
 **Anagram of** (badly) **WORN** **containing** (clothing) **UND** (German for **AND**)
 **R** (**UN D**) **OWN***"
103,"Chasing drug smuggling ring, the French move at a leisurely pace (6) ",POOTLE,"Definition: move at a leisurely pace
 (**POT** [the drug cannabis in any of its form] **containing** [smuggling] **O** [ring shaped letter]) **+ LE** (one of the French forms of ‘the’)
 **PO** (**O**) **T** **LE**"
104,Two insects head off swimming (6) ,NATANT,"Definition: swimming
 (**GNAT** [insect] **+ ANT** [another insect]) **excluding the first letter** [head off] **G**
 **NAT ANT**"
105,Ruler’s graduation perhaps brings age into focus (10) ,CENTIMETRE,"Definition: Ruler’s graduation
 **TIME** (an age) **contained in** (brought into) **CENTRE** (focus)
 **CEN** (**TIME**) **TRE**"
106,"Note the empty, regressive system of values (5) ",ETHOS,"Definition: system of values
 (**SOH** [fifth note of the scale in sol-fa notation] **+ TE** (letters remaining **when the central letter, H, of THE is excluded** [empty]) **all reversed** (regressive)
 (**ET HOS**) <"
107,"Winner is a cheat, getting nothing right under detailed questioning (9) ",CONQUEROR,"Definition: Winner
 **CON** (swindle; cheat) **+ QUERY** (questioning) **excluding the final letter** (de-tailed) **Y** **+ O** (character representing zero or nothing) **+ R** (right)
 **CON QUER O R**"
108,Agreement is in the bag we re told (4) ,PACT,"Definition: Agreement
 **PACT** (**sounds like** [we’re told] **PACKED** [put into a bag])
 **PACT**"
109,City institute faces rising trouble with leading supporters (8) ,BRASILIA,"Definition: City
 **BRAS** (supporters) **+ I** (Institute) **+ AIL** (trouble) **reversed** (rising; down entry)
 **BRAS I LIA**<"
110,"Attractive and authentic, in gingham trousers? (8) ",ENTICING,"Definition: Attractive
 **ENTICING** (**hidden word in** [trousers] **AUTHENTIC IN GINGHAM**)
 **ENTICING**"
111,"Possible cause of downfall of crazy family (6,4) ",BANANA SKIN,"Definition: Possible cause of downfall
 **BANANAS** (crazy) **+ KIN** (family)
 **BANANA S KIN**"
112,"Instruments from Spain turned up in Paris, ten at Sacré- Coeur? (9) ",CASTANETS,"Definition: Instruments from Spain
 **CASTANETS** (**reversed** [turned up] in **PARIS TEN AT SACRE-COUER**)
 **CASTANETS**"
113,"Prepares for the theatre with wine bottles emptied during drink (6,2) ",SCRUBS UP,"Definition: Prepares for the theatre
 (**CRU** [wine vintage] **+ BS** (**letters remaining in BOTTLES when the central letters OTTLE are removed** [emptied]) **contained in** (during) **SUP** (drink)
 **S** (**CRU** **BS**) **UP**"
114,"Trainee heads east, close to perfect place for surfing? (8) ",INTERNET,"Definition: place for surfing
 **INTERN** (trainee gaining practical experience in any profession) **+ E** (east) **+ T** (**final letter of** [close to] **PERFECT**) I think ‘heads’ is just a link word making the surface read well, but it could be an indication of the first letter of **EAST**. However ‘heads’ is plural so I am really not sure.
 **INTERN E T**"
115,Promise of partnership after politician displays desire (6),LIBIDO,"Definition: desire
 **LIB** (Liberal Democrat politician) **+ I DO** (words spoken at a wedding as a promise of aspects of a partnership)
 **LIB I DO**"
116,"Missing Columbia’s capital, cyclone devastated the old country (6) ",CEYLON,"Definition: old country
 **Anagram of** (devastated) **CYCLONE** **excluding** (missing) **C** (first letter [capital of] **C**OLUMBIA)
 **CEYLON*** – either **C** could be the one omitted"
117,Unblocked net (5) ,CLEAR,"Definition: Unblocked
 **CLEAR** (net of debt or obligation) **double definition**
 **CLEAR**"
118,Picked up instruction for starters and ingredient for pudding (4),SAGO,"Definition: ingredient for pudding
 **SAGO** (**sounds like** [picked up] **SAY GO** [an instruction to start])
 **SA GO**"
119,"Kitty saved on car use etc going walkabout (6,3) ",RESCUE CAT," **Anagram of** (going walkabout) **CAR USE ETC**
 **RESCUE CAT***"
120,"Wealth is of little importance, son (5) ",MEANS,"Definition: Wealth
 **MEAN** (of little importance) **+ S** (son)
 **MEAN S**"
121,Musician’s craft returning from Sinai Peninsula is smuggling (7) ,PIANISM,"Definition: Musician’s craft
 **PIANISM** (**reversed** [returning] **hidden word in** [is smuggling] **FROM SINAI PENINSULA**)
 **PIANISM**<"
122,Domain‘s extent swollen by a hundred hectares (7) ,ARCHAEA,"Definition: Domain
 **AREA** (extent) **containing** (swollen by) (**C** [Roman numeral for 100] **+ HA** [hectare])
 **AR** (**C HA**) **EA**"
123,Orders taken over the phone for hotelier (4) ,RITZ,"Definition: hotelier
 **RITZ** (**sounds like** [taken over the phone] **WRITS** [written documents by which one is summoned or required to do, or refrain from doing, something; orders])
 **RITZ**"
124,"Hoover perhaps swallowing brother’s geranium (4,6) ",HERB ROBERT,"Definition: geranium
 **HERBERT** (reference **HERBERT** Hoover [1874 -1964], 31st President of the United States from 1929 to 1933) **containing** (swallowing) **BRO** (brother)
 **HER** (**B RO**) **BERT**"
125,"Cleaner person who complains about leak from 1A? (6,7) ",CARPET SWEEPER,"Definition: Cleaner
 **CARPER** (person who complains) **containing** (about) **PET’S WEE** (possibly a leak from a **RESCUE CAT** [entry at 1 across])
 **CAR** (**PET S WEE**) **PER**"
126,"Highlands canal firm’s set for engineering (6,7) ",MASSIF CENTRAL,"Definition: Highlands
 **Anagram of** (for engineering) **CANAL FIRM’S SET**
 **MASSIF CENTRAL***"
127,Rob arranges to have two sons twinned (10) ,DISPOSSESS,"Definition: Rob
 **DISPOSES** (arranges) with each of the two of the three **S**s [sons] repeated [twinned]
 **DISPOSSESS**"
128,Which people heading for amber stop? (4) ,WHOA,"Definition: stop
 **WHO** (which people) **+ A** (**first letter for** [heading for] **AMBER**)
 **WHO A**"
129,"Record second in list, IMO, is a good example (7) ",EPITOME,"Definition: good example
 **EP** (Extended Play record) **+ I** (**second letter in** [second in] **LIST**) **+ TO ME** (In My Opinion [**IMO**])
 **EP I TO ME**"
130,Period leading to inevitable extinction (7) ,ERASURE,"Definition: extinction
 **ERA** (period of time) **+ SURE** (certain; inevitable)
 **ERA SURE**"
131,Hot port with spices in westerly sun traps perhaps (5) ,NEGUS,"Definition: Hot port with spices
 **SUN reversed** (westerly) **containing** (traps) **EG** (for example; perhaps)
 **N** (**EG**) **US**<"
132,25 slides to slide around with nobody on them (9) ,RIDERLESS,"Definition: with nobody on them
 **Anagram of** (to slide around) **ERR** [entry at 25 down] and **SLIDES**
 **RIDERLESS***"
133,Evidence of gunfire touching ship’s side (6) ,REPORT,"Definition: Evidence of gunfire
 **RE** (with reference to; touching) **+ PORT** (larboard or left side of a ship)
 **RE PORT**"
134,Revolting Greek supermarket moved custard out of the road (9) ,SPARTACUS,"Definition: Revolting Greek
 **SPAR** (name of a chain of convenience supermarkets) **+ an anagram of** (moved) **CUSTARD** **excluding** (out of the) **RD** (road)
 **SPAR TACUS***"
135,"A bit of alcohol‘s appropriate for children, silly (4) ",UNIT,"Definition: A bit of alcohol
 **U** (designation of a film suitable for children to view) **+ NIT** (a silly; a fool)
 **U NIT**"
136,Battle getting knickers off and on in facilities (11),COMPETENCES,"Definition: facilities
 **COMPETE** (contend; battle) **+ NCES** (**letters 2, 4, 6 and 8** [off an on] of **KNICKERS**)
 **COMPETE** **NCES**"
137,Glaswegian couple cheers given whiskey to drink (3) ,TWA,"Definition: Glaswegian couple
 **W** (Whiskey is the international radio communication codeword for the letter **W**) **contained in** (given … to drink) **TA** (thank you; cheers)
 **T** (**W**) **A**"
