,Clue,Answer,Explanation
126,DEPARTMENT,,(TEN TRAMPED)  The anagrind is ‘around’.
127,ADDERS,I,"smiled at this one, but it’s a tad cheeky.  The definition is ‘snakes’: their partners on board are of course LADDERS; if you chop the head off this word you’ve got your answer.  The slight liberty in my opinion is the stretch from ‘executed’ to ‘beheaded’."
128,MINISTERED,,(SIN MERITED)  The anagrind is ‘awful’.
129,CHAPATTI,A,"clever charade of CHAP AT TI.  TI is a homophone of ‘tea’, a meal, and ‘heard’ is the homophone indicator."
130,TEA TOWEL,T,his is T (end of Oktoberfest) plus (WEE A LOT)  The anagrind is ‘drunk’.  Interesting image that the surface reading provides …
131,BELIEF,BEEF,", a complaint, surrounding LI (Light Infantry)."
132,ELEVEN,EVEN,(flat) ‘housing’ LE (the in French).  Pan has put ‘say’ at the end to indicate that a football team is just one example of an ‘eleven’.
133,TENDON,H,idden in frostbitTEN DONor.
134,DUNG,A,n insertion of N for Nitrogen in DUG.
135,Fan in seat wriggling about so,ENTHUSIAST,"An insertion of THUS in anagram of IN SEAT;
"
136,"Mark on skin causing alarm, no end",SCAR,"SCAR[E] with no end.
"
137,Wife’s mother at home with rules and regulations?,IN,"-LAW**A rather obvious clue.
"
138,Film of past committee,OVERBOARD,"A 1987 rom-com which I must admit I’d never heard of, but the charade of OVER and BOARD is very clear. There’s a remake coming out this year, apparently.
"
139,Rows across a river in Spanish city,LINARES,"An insertion of A + R in LINES. Lovely surface, leading us to the Andalusian city.
"
140,Inn with a small restaurant,TAVERNA,"TAVERN plus A. Simple, but good.
"
141,A source of treasure in Valencia? Dad’s mistaken,ALADDIN,"’S CAVE**anagram of VALENCIA DAD’S; and a further Spanish reference.
"
142,Teacher nastily shamed sister,HEADMISTRESS,"anagram of SHAMED SISTER;
"
143,Letters received ahead of good job taken with airline,POSTBAG,"A charade of POST, BA (British Airways or Bloody Awful, depending on your experience with them) and G.
"
144,Dour expert’s frown,GRIMACE,"A charade of GRIM and ACE. This one’s been round the block a few times.
"
145,"Somehow I fall, poor victim of hoax",APRIL FOOL,"**anagram of I FALL POOR;
"
146,How movie ends is unimaginative,INANE,"Because ‘movie’ ends in an ‘e’! This one really made me smile, but it was my last one in, because for me ‘unimaginative’ is not synonymous with ‘inane’. I’d choose ‘silly’ or ‘senseless’ and since ‘unimaginative’ isn’t central to the clue I wonder why Everyman didn’t choose another adjective.
"
147,Be mindful of college turning,NOTE,"A reversal of ETON, the college where half the current cabinet spent their time warming lavatory seats for each other and preparing for high office. This one’s been following GRIMACE around the same block.
"
148,Bitter line written in a hospital department,ASTRINGENT,"Nice clue: it’s STRING inserted in A ENT (Ear, Nose and Throat department, the setters’ favourite hospital unit).
"
149,Fit to eat in deli? Be worried.,EDIBLE,"anagram of DELI BE; Bit of an odd surface, I thought, until my failing eyesight revealed that it was DELI and not DELL.
"
150,"Gift, article left in shelter",TALENT,"An insertion of A + L in TENT.
"
151,Like a member of the jet set?,UPWARDLY MOBILE,"**A cd, and one that again is a bit well-worn.
"
152,Those having great stamina in club teams?,IRONSIDES,"A charade of IRON (golf club) and SIDES. The SOED indicates bravery rather than stamina, and references particularly Edmund II and Oliver Cromwell.
"
153,Kind of dessert,SWEET,"A dd.
"
154,Tea girl’s name for Mao?,CHAIRMAN,"A charade of CHA, IRMA and N.
"
155,"Unorthodox lad described by globetrotter, old tennis star",ROD LAVER,"**An insertion of anagram of LAD; in ROVER. The Australian left-hander is now 72: he was only 1.70m tall and about 70kg dripping wet, but he wasn’t half good.
"
156,Like Caesar’s wife over hint?,ABOVE SUSPICION,"**A charade of ABOVE (over) and SUSPICION (hint). It’s referring to the phrase ‘Caesar’s wife must be above suspicion’. Somebody who knows more about classics than I do* will give you chapter and verse.
"
157,Unconventional Irish soldier?,IRREGULAR,"A charade of IR and REGULAR.
"
158,Comedian entertaining a clergyman,CHAPLAIN,"Lovely surface: it’s an insertion of A in Charlie CHAPLIN.
"
159,Snark and its strange language,SANSKRIT,"anagram of SNARK ITS;
"
160,A drop of red in buffet in appropriate container,CARAFE,"Insertion of A + R (a drop of red) in CAFE. Anyone else think that café for buffet is a bit of a stretch?
"
161,Failing to change sides,DEFECT,"A dd. The noun has the stress on the first syllable, the verb on the second. Learners of ESOL must love that kind of stuff.
"
162,Misleading explanation for grand deficit,GLOSS,"A charade of G and LOSS.
"
163,Footwear for each fielder takes precedence,SLIPPER,"A charade of PER (for each) and SLIP (fielder in cricket).  The ‘takes precedence’ tells you to reverse the order.
"
164,Highlight dot above the horizon,POINT UP,"**A charade.  I wasn’t madly keen on ‘above the horizon’ for UP.
"
165,Primate interrupts priest’s scholarly discourse,PAPER,"An insertion of APE in PR for priest.  ‘Interrupts’ is the insertion indicator.  Nice surface, since Primate also has a religious sense.
"
166,Vagrant’s on the way out when Commie comes back in,WANDERING,"Another insertion, this time with a reversal (‘back in’).  It’s DER (RED, or Commie, reversed) in WANING.
"
167,Celebrity at home in England shedding pounds,LIGHTENING,"More insertions.  It’s LIGHT (celebrity, as in ‘leading light’) and IN (at home) inserted in ENG (England).
"
168,Cut Rolls in a recession,SNUB,"A reversal of BUNS. 
"
169,"What cabaret critic may do, they say, with friend after dark",NOCTURNALLY,"Clever clue.  It’s a homophone of knock turn (criticise an act) plus ALLY.  ‘They say’ is the homophone indicator.
"
170,Extra payment almost rejected by attendant not paying attention,UNOBSERVANT,"There’s a bit going on here.  BONU is nearly BONUS; ‘rejected’ tells you to reverse it to give UNOB; adding SERVANT gives you the solution.
"
171,Vehicles to carry instruments failing to start,UTES,"UTE is Australian slang for a utility vehicle and is a word I only know from crosswords.  It’s a shortening (failing to start) of LUTES. 
"
172,Where you might lie bottom in pairs’ event,DOUBLE BEDS,"**I got DOUBLE fairly quickly from the crossing letters, but the full clue was my last to go in.  It’s a cleverly constructed surface, but again, there’s some stuff happening.  The pairs event is DOUBLES (tennis, I suppose) and ‘in’ is telling you to insert BED (bottom, of the sea) into it.
"
173,Apt headgear for a Victorian engagement?,BALACLAVA,"A dd, referring to the 1854 battle of Balaclava in the Crimean War and the knitted headwear.  The two are related but I can’t remember why.
"
174,Girl steps back over single plant,SISAL,"A very common clue: it’s a reveral of LASS with the insertion of I for ‘single’.
"
175,"What Thomas wanted, I assume",NO DOUBT,"**A kind of cd/dd.  It’s referring to the phrase ‘Doubting Thomas’,  which has its origins in the desire of the Apostle Thomas to see and feel Jesus’ wounds before believing that the resurrection had taken place.  It’s in John Chapter 20 if you’re remotely interested and there’s also a dead famous painting by Caravaggio of the event.
"
176,"Spurs supporter often does this, masking identification",SIDINGS,"Cleverly misleading use of ‘Spurs supporter’.  You need to tease them apart, since the definition is ‘spurs’: it’s an insertion of ID in SINGS, which is what supporters do (except when they’re being taunted by the opposition chant ‘You only sing when you’re winning, sing when you’re winning …’)
"
177,Contribute gracefully,SUPPLY,"A dd.  With the stress on the first syllable, it means the first word of the clue; when it’s on the second syllable, it is an adverb synonymous with the second word of the clue.  *This is in fact the other way round; thanks to Eileen for pointing out my error.*
"
178,One man chucking article for dog to have a go at,IMPUGN,"Good surface and sound clue, but a beginner might struggle with it.  Impugn: ‘to fight against; attack; assail; assault’ (SOED).  ‘One man’ is I MAN, given the crossword convention of the letter I for ‘one’.  Nutmeg is then inviting you to ‘chuck (out) the article A and replace it with PUG, a dog.
"
179,Cromwell’s doctrine destroyed human spirit after beheading,PURITANISM,"Our first anagram: anagram of UMAN SPIRIT;. ‘Beheading’ tells you to take the first letter off and ‘destroyed’ is the anagrind.
"
180,Archbishop’s tree,ROWAN,"A dd.  You need to know that Rowan Williams is the current Archbishop of Canterbury.  Think beard, glasses and well-modulated accent.
"
181,Part of continent where Alpine sun’s unusual,PENINSULA,"Another anagram: anagram of ALPINE SUN;.  The anagrind is ‘unusual’.
"
182,Independent police force raised issue,ITEM,"A charade of I for independent and TEM, a reversal of MET (The Metropolitan Police).  Since this is a down clue, ‘raised’ serves as the reversal indicator.
"
183,Warning sign in kitchen?,TRIANGLE,"I have stared at this for long enough.  I have no idea, so in the interests of getting this blog out before it gets dark, I’ll ask for some help with parsing this, please!  *A suggestion below from pommers looks feasible, but Gaufrid at no 4 has come to our rescue with the explanation that it’s an orchestral reference.  Thanks to both.*
"
184,Unlimited buns and puddings served up without hassle,UNSTRESSED,"Again, the need to see two devices.  ‘Unlimited buns’ gives you UN, ‘buns’ without the first and last letters.   Puddings are DESSERTS and ‘served up’ tells you in a down clue to reverse it.  Put the two together and you’ve got your answer.  If you’ve not seen the STRESSED/DESSERTS trick before, you will again soon.
"
185,Mister Uppity feeds comic cartoon bird,CORMORANT,"This is another clue that’s really clever, but possibly doesn’t sit well in an entry-level crossword.  It’s an insertion of RM anagram of Mr, uppity, ie reversed) in an anagram of (CARTOON;.  ‘Feeds’ is the insertion indicator and ‘comic’ is the anagrind.  The Cormorant’s close relation, the Shag, has been known to be of use to setters with a risqué sense of humour.
"
186,Narrow-minded sports coach backs prohibition,SUBURBAN,"Again, lots of elements to tease out.  ‘Narrow-minded’ is the definition (‘surburban’ wouldn’t have been my first choice of synonym, but it’s in the SOED as ‘derogatory’).  ‘Prohibition’ is BAN; ‘sports coach’ is RU (Rugby Union) plus BUS (coach); ‘back’ tells you to reverse these elements and when you do, you’ve got the answer.  By which time you probably need a lie-down.
"
187,Paragon directed cast,MODELLED,"This is simpler: a charade of MODEL and LED.
"
188,Argue about a child,REASON,"Another charade, of RE (about) and A SON.
"
189,Surreptitiously takes round small religious book,PSALMS,"PALMS (surreptitiously takes) round S for small gives you the book of the bible.
"
190,Animals’ stomachs,BEARS,"A dd.
"
191,The crudest clothes colour,ECRU,"Nice clue to finish.  It’s hidden in ThE CRUdest; ‘clothes’ is the indicator.
"
192,Second drink in isolated spot,BACKWATER,"A charade of BACK and WATER.
"
193,Glimpse object of especial interest,SIGHT,"This one took me a while to understand.  It’s a dd: if you glimpse something, you sight it; and if something is of especial interest, then it’s a ‘sight’ to see.  I got focused on Everyman’s use of ‘especial’ rather than ‘special’, thinking that must have been central to the clue.  Wrong.
"
194,Taking photographs of spectators where marksmen practise,SHOOTING GALLERY,"A straighforward charade of SHOOTING (taking photographs) and GALLERY (spectators).
"
195,Land shortage ignored by duke,EARTH,"A removal of D from DEARTH.
"
196,Maintenance allowance Olympian squandered,PALIMONY,"anagram of OLYMPIAN;  It’s a term derived from PAL and ALIMONY, where the assets of a live-in but unmarried couple are divvied out after separation.  A quick flirt online suggests the neologism dates from 1977.
"
197,"Literary character, jumping bail, put in prison",CALIBAN,"An insertion of anagram of BAIL; in CAN for prison.  A character in Shakespeare’s Tempest.
"
198,"Likely to remain fine in South, possibly after about one",SET FAIR,"A charade of S anagram of South) and (AFTER; around I for one.
"
199,"After last of nightmares, refuse to sleep",SLUMBER,"A charade of S and LUMBER.
"
200,Pal carrying revolutionary weapon,MACHETE,"An insertion of CHE, the setters’ favourite revolutionary, in MATE.
"
201,Cop loses out in disgusting place,CESSPOOL,"anagram of COP LOSES;
"
202,Itinerant US actor making a comeback,NOMAD,"A reversal of DAMON.  Referring to Matt Damon, the US actor.  I’m not that into cinema, but even I’d heard of him.
"
203,Fruit British head dropped into perfect drink,BUTTERNUT SQUASH,"Clever.  It’s B for British and NUT inserted into UTTER (perfect) and SQUASH (drink).  This seems to crop up a lot in crosswords, perhaps because it’s got fifteen letters and is ripe (no pun intended) for cluing in various ways.  Like the tomato, it is technically a fruit, although cooks would probably regard it as a vegetable.
"
204,Helped let learner driver out,EASED,"LEASED with the removal of L.
"
205,As good as gold?  Not us,RUNNERS,"-UPA cd.
"
206,"A nervous wreck in box, on trial",BASKET CASE,"A charade of BASKET and CASE.  I’d normally associate this word with the recent difficulties of the PIGS eurozone, but the SOED does give the ‘nervous wreck’ definition.
"
207,Group of singers sing endlessly about love,CHOIR,"An insertion of O for love in CHIR[P].
"
208,Perform a baptism to celebrate a birth,WET THE BABY,"’S HEADA dd.
"
209,Can one holding drill start to repair a kitchen utensil?,TIN OPENER,"Can (TIN) plus ONE enclosing PE (drill) and first letter of repair.
"
210,Royal feast cut short,REGAL,"REGAL[E].  This is the nounal version of REGALE: ‘a sumptuous meal, a feast, an entertainment’.
"
211,"I’m unfortunately turned over by a trick, a computer fraud",SALAMI TECHNIQUE,"A reversal of I’M ALAS plus TECHNIQUE.  I vaguely knew this term, and on checking I find that it’s a method of fraudulently obtaining funds by regularly taking small amounts of money from accounts, so that it won’t be noticed: a bit like slicing a salami very thinly until you’ve got the whole sausage, I suppose.
"
212,"New measuring device, reportedly for fruit",GREENGAGE,"A charade of GREEN (new, naive) and GAGE, a homophone of ‘gauge’, a measuring device.
"
213,Film and play opening in Soho,TOYS,"A charade of TOY (play) and S.  A 1992 comedy, which I had never heard of; but the answer couldn’t be much else.
"
214,Amity shown by female diner relaxed on liner,FRIENDSHIP,"A charade of F, anagram of DINER; and SHIP.
"
215,Rule at sea confused eminent poets,LAUREATES,"anagram of RULE AT SEA;
"
216,Dope easy to name,SIMPLETON,"A charade of SIMPLE, TO and N.
"
217,Proprietor in state of depression having day off,OWNER,"[D]OWNER
"
218,Upset mason grumbles,MOANS,"anagram of MASON;
"
219,Efficient porter grabbing first of bags,ABLE,"An insertion of B in ALE.
"
220,DOMICILE,A,charade of ICI (‘here’ in French) and L in DOME.
221,SCAR,A,"reversal (coming round) of RAC’s.  For overseas solvers, RAC is the Royal Automobile Club, a roadside rescue organisation.  Their motorbike people used to salute you when they saw the RAC badge on the front of the car, which tells you how old I am."
