,Clue,Answer,Explanation
123,Collector books nearly every seat? (6),ALBUMS,"Definition: Collector books
AL[L] BUMS – I’m not sure this entirely works: if “nearly every” is AL then the answer shoud be ALBUM; if it’s “nearly (every seat)” it should be ALLBU."
124,"Ferryman lost a relic, rowing former journalist (10)",CHRONICLER,"Definition: former journalist
CH[a]RON (ferryman of the Styx who has “lost a”) + RELIC*"
125,Tours streets gathering new 20s (5),RUNES,"Definition: 20s
N in RUES (French streets, as in the city of Tours)"
126,"20 parts, 2 held by climbers, 1 by mountaineers (9)",ASCENDERS,"Definition: 20 parts
An ascender is part of a letter that extends above the middle (i.e. above the height of letters such as n and a). It can also refer to a letter that has an ascender. The words “climbers” and “mountaineers” have two (l, b) and one (t) of these respectively (and climbers and mountaineers are also “ascenders”, though that doesn’t seem to be a necessary part of the clue)"
127,Old German understood Hungary (4),GOTH,"Definition: Old German
GOT H"
128,"51 first-rate lads corrupt grandee employs in 13 novel (8,11)",LIAISONS DANGEREUSES,"Definition: 13 novel
LI (51) + A1 SONS + GRANDEE* + USES. To be picky, the name of the epistolary novel (made ino a memorable 1988 film, among other adaptations) is *$$Les$$ Liaisons dangereuses*"
129,Subject of 13 novel 21A describing Rhode Island (8),CLARISSA,"Definition: Subject of 13 novel
RI in CLASS A – the A really is an A in 21A, not an abbreviation of “across”. Samuel Richardson’s famous (and famously long) novel"
130,45 royalist nuts devoted to 20s (10),EPISTOLARY,"Definition: devoted to 20s
EP (record, formerly one played at 45rpm) + ROYALIST*"
131,Double-check paper Louis’ wife passed round (2-7),RE-EXAMINE,"Definition: Double-check
EXAM (paper) in REINE (French “queen” – take your pick of which Louis she is the wife of)"
132,Labour leader is not bothered about current issues (8),EDITIONS,"Definition: issues
ED [Miliband] + I (symbol for current) in (IS NOT)*"
133,A French-English dictionary includes “enclose” for “shut” (8),UNOPENED,"Definition: shut
UN (“A” in French) + PEN (enclose) in OED (English dictionary)"
134,Warning: “Vacate complex!” (6),CAVEAT,"Definition: Warning
VACATE*"
135,An accommodating character? (6),LETTER,"Definition: character
Double definition (sort of)"
136,"Polish close borders, more or less (5)",EMEND,"Definition: Polish
M[or]E (“more or less”) in END; “polish” (short O) as a verb"
137,"“Pees ’n ’ose”, said mate (4)",OPPO,"Definition: mate
PP in OO – the surface reading may be a reference to the legendary Four Candles sketch by the Two Ronnies."
138,"What yachtsmen hoist, getting drunk in this local? (9)",SAILCLOTH,"Definition: What yachtsmen hoist
(THIS LOCAL)*"
139,Back only positive part of 24 — that’s curious (5),NOSEY,"Definition: curious
NOYES with the YES (the “positive part”) reversed"
140,They’re used to create curls and waves (7),ROLLERS,"Definition: They’re used to create curls
Double definition: hair rollers and waves in the sea"
141,Aim the wrong way in total stupidity (7),MADNESS,"Definition: stupidity
Reverse of END (aim) in MASS (total)"
142,"First part of Julius Caesar, for example, as opposed to 21 down (5)",NOMEN,"Definition: First part of Julius Caesar, for example
The opposite of YES-MEN. As well as just meaning “name” in Latin, *nomen* had the more specific meaning of a family name. See here for more details. In Gaius Julius Caeser, to give him his full name, Gaius is the *praenomen*, Julius the *nomen* and Caesar the *cognomen*. Here endeth the Latin lesson."
143,Doctor read notes and responded sympathetically (9),RESONATED,"Definition: responded sympathetically
(READ NOTES)*"
144,"Government official‘s rewritten trite manifestos (8,2,5)",MINISTER OF STATE,"Definition: Government official
(TRITE MANIFESTOS)*"
145,Partnership in company — a majority shareholder secures it (9),COALITION,"Definition: Partnership
CO + IT in A LION (the lion’s share is the majority)"
146,"Conclusions of inquiry the press judge ridiculous, as opposed to 4 (5)",YESES,"Definition: as opposed to 4
Last letters of inquirY thE presS judgE ridiculouS."
147,"Short of editor at work, cutting back information (7)",NEEDING,"Definition: Short of
ED IN (at work) in reverse of GEN (information)"
148,"Former tennis star, as seen repeatedly falling into net, oddly (7)",NASTASE,"Definition: Former tennis star
AS + AS in NET*, the tennis star being Ilie Nastase"
149,Poet who might have written “Do I contradict myself?” (5),NOYES,"Definition: Poet
NO/YES – Alfred Noyes is the poet."
150,"Catches, say, in safer nets at sea (9)",FASTENERS,"Definition: Catches
(SAFER NETS)* – I don’t see why “say” is needed here"
151,Like a great number that’s so romantic being ruined (10),ASTRONOMIC,"Definition: Like a great number
(SO ROMANTIC)*"
152,Queen provided lover for soldier (8),RIFLEMAN,"Definition: soldier
R (queen) + IF (provided) + LEMAN (lover)"
153,Show? Yes and no (6),SCREEN,"Definition: Show? Yes and no
Double definition: to show, e.g. a film, or to cover with a screen, and so hide"
154,"Having odd deficiencies, uncovers negatives (4)",NOES,"Definition: negatives
Even letters of uNcOvErS"
155,"How to say “no”, using digital signal? (6,4)",THUMBS DOWN,"Definition: How to say “no”, using digital signal
Cryptic definition"
156,"They avoid controversy? Yes and no, possibly (8)",ANODYNES,"Definition: They avoid controversy
(YES AND NO)*"
157,Saying “yes” in the form posted (6),ASSENT,"Definition: Saying “yes”
“In the form posted” = AS SENT"
158,"Regards as English, indeed (4)",EYES,"Definition: Regards
E + YES"
159,"Language used by female in bank, speaking rapidly (7,3)",REELING OFF,"Definition: speaking rapidly
LINGO + F in REEF"
160,"Fashionable judgment shown by doctor on a lot of points (5,5)",DRESS SENSE,"Definition: Fashionable judgment
DR + lots of E, S and N"
161,Extremely polished attempts written about in time (8),SHINIEST,"Extremely polished attempts written about in time (8)
IN in SHIES (attempts) + T"
162,Relieved when artist turned up outside university (8),ASSUAGED,"Relieved when artist turned up outside university (8)
AS (when) + U in reverse of [Edgar] DEGAS"
163,"Nocturnal animal, as opposed to 22 down? (3-3)",AYE-AYE,"Nocturnal animal, as opposed to 22 down? (3-3)
Opposite of NO-NO for this lemur"
164,They never oppose head of state in republic (3-3),YES-MEN,"They never oppose head of state in republic (3-3)
S[tate[ in YEMEN"
165,"4, something to be avoided (2-2)",NO-NO,"4, something to be avoided (2-2)
NO + NO makes NOES"
166,"As we hear, the opposite of 8 — it’s between them (4)",NOSE,"As we hear, the opposite of 8 — it’s between them (4)
Homophones of “noes”, the opposite of “ayes”, and the nose is between the eyes"
167,"Ray, perhaps, not entirely mean to eat morsel of food, a scrap (4,5)",FIST FIGHT,"Definition: a scrap
FIS[h] (a ray is a fish) + F[ood] in TIGHT (mean, stingy), and a scrap is a fight"
168,Fraud no PCs will back (4),SCAM,"Definition: Fraud
Reverse of [Apple] MACS, which are not PCs (though of course they are Personal Computers, but Apple’s own advertising makes the distinction)"
169,"Ancient, somewhat wizened looking from the rear (5)",OLDEN,"Definition: Ancient
Hidden in reverse of wizeNED LOoking"
170,Debt of £1 on gift (9),LIABILITY,"Definition: Debt
L1 + ABILITY (gift, talent)"
171,God welcoming national state (7),ROMANIA,"Definition: state
OMANI in RA (Egyptian sun god – a crossword regular, though I don’t remember seeing him much lately)"
172,"Force out old terrorist leader, boorish (7)",EXTRUDE,"Definition: Force out
EX (old, former) + T[errorist] + RUDE"
173,"Fair to wash hand (8,5)",STRAIGHT FLUSH,"Definition: hand
STRAIGHT (fair) + FLUSH (wash) to give the poker hand"
174,"Drink in hemlock, it’s poisonous as sweet (4,9)",MILK CHOCOLATE,"Definition: sweet
COLA (drink) in (HEMLOCK IT)*"
175,"Frank, a cause of irritation (7)",CANDIDA,"Definition: cause of irritation
CANDID (frank) + A. Candida is a genus of yeast like fungi that cause skin infections"
176,"Cap removed from element by GP, one releases medicine (7)",DROPPER,"Definition: one releases medicine
DR (GP ) + [C]OPPER"
177,"Reversible fasteners pinning baker, European (9)",SLOVENIAN,"Definition: European
OVEN (baker) in reverse of NAILS"
178,Priest managed to screen scrummy entertainment? (5),DRUID,"Definition: Priest
RU (Rugby Union, which involves scrums) in DID"
179,Look to get sound from woofer (4),PEEK,"Definition: Look
Homophone of “Peke” (dog)"
180,"List including unlimited dance music, OK (9)",TOLERABLE,"Definition: OK
[B]OLER[O] in TABLE"
181,"Succeed, like something powdery? (8)",FLOURISH,"Definition: Succeed
Double definition"
182,"Biblical city like this, with kind of effect half erased (5)",SODOM,"Definition: Biblical city
SO (like this) + DOM[ino], from the “domino effect”"
183,"Pink organ inelastic, if man excited (9,5)",FINANCIAL TIMES,"Definition: Pink organ
(INELASTIC IF MAN)* – marvellous! (For those who don’t know, the Financial Times is printed on pink paper.)"
184,Climbing back into pig monster (7),GOLIATH,"Definition: monster
Reverse of TAIL (back) in HOG"
185,"Tiny thing bagged for a nicker? (3,4)",TEA LEAF,"Definition: Tiny thing bagged
Double definition – a tea leaf is tiny, and found in a tea bag, and it’s also cockney rhyming slang for “thief”"
186,"Vital force left out of dance, doubly for ankle-biter (9)",CHIHUAHUA,"Definition: ankle-biter
CHI (life-force, in Chinese medicine) + HU[L]A, twice. “Ankle-biter” is slang for a child, but I suppose it could equally well apply to a small dog"
187,"Chaos, with one of twelve on the brink (6)",MAYHEM,"Definition: Chaos
MAY (on of twelve months) + HEM (edge, brink)"
188,"Flit suggested — so take flight, then? (4,3,2,5)",LIFT OUT OF ORDER,"Definition: so take flight, then
“Lift out of order” could be a clue for FLIT, or an instruction to take the stairs"
189,"Bad manners with old twins a prominent feature (5,4)",ROMAN NOSE,"Definition: prominent feature
(MANNERS O O)*"
190,Ask Dickensian to feel resentment (8),BEGRUDGE,"Definition: to feel resentment
BEG [Barnaby] RUDGE"
191,Vehicle in which cups and saucers might be thrown around? (7),CHARIOT,"Definition: Vehicle
Cha=tea, so the cups and saucers might be thrown around at a CHA RIOT"
192,Maybe second test outlines racket? (7),ORDINAL,"Definition: Maybe second
DIN (racket) in ORAL (test, exam)"
193,"Wildcat taking drink is naughty (4,2)",ACTS UP,"Definition: is naughty
CAT* + SUP"
194,Second fruit? Exactly (5),PLUMB,"Definition: Exactly
The first fruit could be plum A, the second PLUM B"
195,"Cat on brass, possibly, making bull fiddle (10)",CONTRABASS,"Definition: bull fiddle
(CAT ON BRASS)*. “Bull fiddle” is US slang for the double bass"
196,"Paddy finds him unpleasant, always lacking in cheer? (4)",HOOR,"Definition: Paddy finds him unpleasant
HOORAY less (lacking) AY (always). “A Scots and Irish form of whore; a difficult or unpleasant thing or person” says Chambers. This doesn’t seem to me to imply that the second usage is specifically Scots/Irish."
197,"Pâté’s spread and then consumed, with nothing in between? (8)",ASEPTATE,"Definition: with nothing in between
PATES* + ATE – not to be confused with “aseptic”, this means lacking a septum"
198,Elegy gents inscribed in kazi (6),LAMENT,"Definition: Elegy
MEN in LAT (short for latrine) Kazi is the first of several spellings given in Chambers – I would have assumed “khazi” was the main one, and that it was an Anglo-Indian word, but according to C it’s “said to be from Ital. *casa*, house or *perh* Ar[abic] *kursi*, chair”."
199,Sand eel left off wriggling caught in net (6),SEANED,"Definition: caught in net
(SAND EEL)* less L. “Sean” is an alternative of “seine”, as in the fishing net"
200,Former parliament suffering digs in paper jokily (7),RIGSDAG,"Definition: Former parliament
DIGS* in RAG – the name of the Norwegian parliament until 1953 (cf “Reichstag”)"
