,Clue,Answer,Explanation
26,Man owning land located across river,LAIRD,"Definition: Man owning land
R (=river) in LAID (=located, i.e. positioned, placed)"
27,Over the years seaman has become brave,OSAGE,"Definition: brave
OS (=seaman, i.e. Ordinary Seaman) + AGE (= years); an Osage is a Native American of a tribe living in Oklahoma"
28,"No queen, tiny thing wiping face",TOM,"Definition: No queen
<a>**TOM** (=tiny thing); “wiping face” means first letter is dropped; a tom cat is a male, thus no queen"
29,Clear // score,NET,"Definition: Clear // score
Double definition: net is “clear” of all deductions, charges (of salary) AND to “score” (a goal)"
30,Sepulchral (?) contents of boat or train,GRAVY,"Definition: contents of boat or train
The question mark indicates that only whimsically could gravy be an adjective referring to the grave; the reference is to the expression gravy boat and gravy train"
31,Stock up on tea in the early hours at the front,AMASS,"Definition: Stock up on 
ASS-AM (=tea); “in the early hours (=AM) at the front” means that the letters “am” move to the front of the word"
32,Jury jump around securing conviction finally,PANEL,"Definition: Jury
<convictio>**N** (“finally” means last letter dropped) in PAEL (LEAP=jump; “around” indicates reversal)"
33,Power // punch,CLOUT,"Definition: Power // punch
Double definition"
34,"Half of 24, the strangler",BOA,"Definition: the strangler
<bal>BOA (=half of Rocky, i.e. entry at 24); Robert “Rocky” Balboa is the name of the title character of the Rocky films, played by Sylvester Stallone; a boa constrictor strangles its prey"
35,Knock up prophet some bloomers,LOBELIAS,"Definition: some bloomers
LOB (=knock up, e.g. a tennis ball) + ELIAS (=prophet, i.e. in OT, also called Elijah); the bloomers referred to here are flowers, not knickers!"
36,"Studies and woman, both biblical, for high official",REEVE,"Definition: high official
RE (=biblical studies) + EVE (=biblical woman)"
37,"Spanish city ordered to keep English oak, primarily",TOLEDO,"Definition: Spanish city
[E (=English) in TOLD (=entered)] + **O**<ak> (“primarily” means first letter only)"
38,"Power in dove, 26 4",COOPER,"Definition: 26 4
P (=power) in COOER (=dove, i.e. a bird that coos); the boxer (or “ringmaster”, entry at 26 4) referred to here is English heavyweight Henry Cooper (1934-2011)"
39,Loyal // European province,LIEGE,"Definition: Loyal // European province
Double definition: liege means loyal, faithful, as a vassal under the feudal system"
40,Dandy // Italian food,MACARONI,"Definition: Dandy // Italian food
Double definition: a Macaroni was a type of 18th century English dandy, who dressed and spoke in an effected manner"
41,Title among books I restored,SIR,"Definition: Title
Hidden (“among”) in “book**S** **I R**estored”"
42,Bear // in streamDouble definition,BROOK,Definition: Bear
43,"Data to enter one head, including the principal of principles",INPUT,"Definition: Data to enter
**P**<rinciples> (“the principal of” means first letter only) in [I (=one) + NUT (=head, colloquially)"
44,I should punch 26 4 for the country,BENIN,"Definition: the country
I in BENN (= “ringmaster”, i.e. entry at 26 4); the boxer referred to here is the English (super-)middleweight Nigel Benn (1964-)"
45,Good book where 26 4’s end published,KORAN,"Definition: Good book
KO (=where “ringmaster” – i.e. boxer, entry at 26 4 – has end, i.e. knockout) + RAN (=published, as in The newspaper ran an article on the USA)"
46,"What are the chances of this being a monk, did you say?",NUN,"Definition: this
Homophone (“did you say?”) of “none” (=chance of this being a monk, since nuns are women)"
47,Important // means of access,KEY,"Definition: Important // means of access
Double definition"
48,"Byron wandering in the city, penniless",STONY-BROKE,"Definition: penniless
*(BYRON) in STOKE (=the city); “wandering” is anagram indicator"
49,1 26 4,TYSON,"Definition: 26 4
*(STONY); “broke” is anagram indicator – the entry at 1 is a cryptic clue for “Tyson”; the boxer – or “ringmaster”, i.e. entry at 26 4 – referred to here is the American heavyweight Mike Tyson (1966-)"
50,Game up for dress,GARB,"Definition: dress
BRAG (=game, i.e. of cards); “up” indicates vertical reversal"
51,"Humiliated, as princely 26 4",ASHAMED,"Definition: Humiliated
AS + HAMED (=princely “ringmaster”, i.e. entry at 26 4); the reference here is to the English feather- and bantamweight boxer Naseem Hamed, known as Prince Naseem"
52,Offer an ‘end and with leg up to see private area,NIPPLE,"Definition: private area
‘ELP (‘AND, i.e. help/hand with “h” dropped) + PIN (=leg, colloquially); “up” indicates vertical reversal"
53,Joy entertaining 26 4 in lake,GALILEE,"Definition: lake
ALI (= “ringmaster”, i.e. entry at 26 4) in GLEE (=joy); the boxer referred to here is the US heavyweight Muhammad Ali"
54,"Extraordinary game half finished, sailor turned over first",EYE-POPPING,"Definition: Extraordinary 
EYEPOP (POPEYE=sailor; “turned over” indicates reversal) + PING<pong> (=game; “half finished” means half of letters are dropped)"
55,"Nuts, // or biscuits",CRACKERS,"Definition: Nuts
Double definition"
56,"On air, needing to put out speech",ORATION,"Definition: speech
*(ON AIR + TO); “put out” is anagram indicator"
57,Satiate boxing Olympian just around the corner,CLOSE BY,"Definition: just around the corner
SEB (=Olympian, i.e. English middle-distance runner Seb Coe) in CLOY (=satiate, i.e. sicken)"
58,Record playing for 26 4,LISTON,"Definition: 26 4
LIST (=record) + ON (=playing); the “ringmaster” (=entry at 26 4) referred to here is the US heavyweight boxer Sonny Liston (1932-70)"
59,"26 4, where not a pound invested?",EUBANK,"Definition: 26 4
Cryptically, euros would be invested at an EU bank, not pounds; the “ringmaster” (=entry at 26 4) referred to here is the English (super-)middleweight boxer Chris Eubank (1966-)"
60,23 26 4,ROCKY MARCIANO,"Definition: 26 4
The clue here is a cryptic clue for MACARONI (=entry at 23), i.e. *(MARCIANO), with “rocky” as anagram indicator; the “ringmaster” (=entry at 26 4) referred to here is the US heavyweight boxer Rocky Marciano (1923-69)"
61,"Top top man arresting criminal, hoodlum ultimately collared",RINGMASTER,"Definition: Top top man
<hoodlum>**M** in *(ARRESTING); “criminal” is anagram indicator; the second “top” in the definition refers to a circus big top"
62,Ask family about vegetable,PUMPKIN,"Definition: vegetable
PUMP (=ask, i.e. for information) + KIN (=family)"
63,Just line from stories featuring imaginary beings,FAIRIES,"Definition: imaginary beings
FAIR (=just) + <l>IES (=stories; “line (=L) from” means letter “l” is dropped)"
64,Sound of moggy jumping at a curlew,CATERWAUL,"Definition: Sound of moggy
*(AT A CURLEW); “jumping” is anagram indicator"
65,Follow mother’s assertion of faith,DOGMA,"Definition: assertion of faith
DOG (=follow) + MA (=mother)"
66,Bill’s elaborate daydream about American women’s success in film,ACADEMY AWARD,"Definition: success in film
AC (=bill, i.e. account) + {[A (=American) + W (=women)] in *(DAYDREAM)}; “elaborate” is anagram indicator"
67,Stench from stream with source blocked,REEK,"Definition: Stench
<c>REEK (=stream); “with source blocked” means first letter dropped"
68,"Annoyance I share, when blocked by a lot of ceremony",IRRITATION,"Definition: Annoyance
I + [RIT<e> (=ceremony; “a lot of” means last letter dropped) in RATION (=share)]"
69,Bad lot mixed up with the college’s latest range of courses,TABLE D’HÔTE,"Definition:  range of courses
*(BAD LOT + THE <colleg>E); “latest” means last letter only; “mixed up” is anagram indicator"
70,Fashion line discounted? It won’t make you look good,STYE,"Definition: It won’t make you look good
STY<l>E (=fashion); “line (=L) discounted” means letter “l” dropped; cryptically, a stye “won’t make you look good”, i.e. will negatively affect one’s sight"
71,"One of 5 bouncy bosoms, please",PEASE-BLOSSOM,"Definition: One of 5
*(BOSOMS PLEASE); “bouncy” is anagram indicator; the definition is “one of fairies (=entry at 5)”, i.e. from Shakespeare’s A Midsummer Night’s Dream"
72,"Greeting expression of surprise, repressing expression of revelation",ALOHA,"Definition: Greeting
LO (=expression of revelation, as in lo and behold) in AHA (=expression of surprise); aloha is a Hawaiian greeting"
73,Curious faery town where 6s live?,FORT WAYNE,"Definition: where 6s live?
*(FAERY TOWN); “curious” is anagram indicator; Fort Wayne is a city in Indiana, hence “where Indianans (=entry at 6) live”"
74,One of 5 active in mute address,MUSTARDSEED,"Definition: One of 5
*(MUTE ADDRESS); “active” is anagram indicator; the definition is “one of fairies (=entry at 5)”, i.e. from Shakespeare’s A Midsummer Night’s Dream"
75,"Shared opinions on speed, in fact",DEBATED,"BAT (=speed, i.e. colloquially, cf. lick) in DEED (=fact)"
76,One of 5 turned up with designer logo?,PUCK,"Definition: One of 5 
PU (UP; “turned” indicates vertical reversal) + CK (=designer logo, i.e. Calvin Klein); the definition is “one of fairies (=entry at 5)”, i.e. from Shakespeare’s A Midsummer Night’s Dream"
77,One of 5 books amongst 1000 hardbacks at first,MOTH,"Definition: One of 5
OT (=books, i.e. Old Testament) in [M (=1000) + **H**<ardbacks> (“at first” means first letter only)]; the definition is “one of fairies (=entry at 5)”, i.e. from Shakespeare’s A Midsummer Night’s Dream"
78,Church cut school’s drink,KIRSCH,"Definition: drink
KIR<k> (=church; “cut” means last letter dropped) + SCH (=school)"
79,"German valley in North Eastern heartland, possibly",NEANDERTHAL,"Definition: German valley
NE (=North Eastern) + *(HEARTLAND); “possibly” is anagram indicator; Neanderthal man was first discovered at Neanderthal in Germany"
80,River current disappearing in neglect,FAL,"Definition: River
FA<i>L (=neglect); “current (=I, in physics) disappearing” means letter “i” is dropped"
81,"Local American, one getting assistance, turning up in pub",INDIANAN,"Definition: Local American
DIANA (AN=one + AID=assistance; “turning up” indicates vertical reversal) in INN (=pub)]"
82,"Get favour treating sick, housing one American",INGRATIATE,"Definition: Get favour
[I (=one) + A (=American)] in *(TREATING); “sick” is anagram indicator"
83,Man cradles hyped-up rock fan,SLAM DANCER,"Definition: rock fan
*(MAN CRADLES); “hyped-up” is anagram indicator; a slam dancer is a rock fan at a concert who leaps up into the air and crashes into other crowd members"
84,Apple? Host’s very interested in a piece,MCINTOSH RED,"Definition: Apple
MC (=host) + INTO (=very interested in) + SHRED (=a piece); a McIntosh red is a red-skinned variety of eating apple"
85,Best girl not reaching end in school dance – lively stuff,PROTOPLASM,"Definition: lively stuff
[TOP (=best) + LAS<s> (=girl; “not reaching end” means last letter dropped)] in PROM (=school dance); protoplasm is living material within a cell, hence, cryptically, “lively stuff”"
86,"Gauzy hint of moonlight or sunbeam, flickering",MEMBRANOUS,"Definition: Gauzy
M<oonlight> (“hint of” means first letter only) + *(OR SUNBEAM); “flickering” is anagram indicator"
87,Notes a consequence of sun before sun comes up,SERENATA,"Definition: Notes
A + TAN (=consequence of sun) + ERE (=before) + S (=sun); “coming up” means (here full) vertical reversal"
88,One of 5 books about our group overseen by company,COBWEB,"Definition: One of 5
CO (=company) + [WE (=our group) in B B (=books, i.e. 2 x B)]; the definition is “one of fairies (=entry at 5)”, i.e. from Shakespeare’s A Midsummer Night’s Dream"
89,Item for treatment? Crusty spot’s edges,CYST,**C**<rust>**Y S**<po>**T**; “edges” means first and last letters only
90,Ths writer avoids renowned transient success,FAD,"Definition: transient success
FA<me>D (=renowned); “this writer (=ME) avoided” means the letters “me” are dropped"
91,There’s no getting round it – two firms are in control,HARD AND FAST RULE,"Definition: There’s no getting round it
HARD AND FAST (=two firms, i.e. two words meaning firm as an adjective) + RULE (=are in control)"
92,"Coming in last, not first, it is not last but first",INITIAL,"Definition: first
[IT + I<s> (“not last” means last letter dropped)] in <f>INAL (=last; “not first” means first letter dropped)"
93,"Roast meat by way of light meal, you say?",LAMBAST,"Definition: Roast
LAMB (=meat) + AS (=by way of) + T (=light meal, as you say, i.e. homophone of “tea”); the definition is roast as a verb, i.e. to scold, criticise strongly"
94,"They stick to the edges of the room, avoiding gatherings of bosses",SKIRTING BOARDS,"Definition: They stick to the edges of the room
SKIRTING (=avoiding) + BOARDS (=gatherings of bosses, i.e. in companies)"
95,King not to back,RAJA,"Definition: King
AJAR (=not to, i.e. not closed, of a door); “back” indicates reversal"
96,Communist saboteur runs off after explosion happens,COMES ABOUT,"Definition: happens
COM (=communist) + *(SABOTEU<r>); “runs (=R) off” means letter “r” is dropped from anagram, indicated by “after explosion”"
97,Today’s young endlessly in trouble? No kidding!,YOU DON’T SAY,"Definition: No kidding!
*(TODAY’S YOUN<g>); “endlessly” means last letter dropped from anagram, indicated by “in trouble”"
98,South American murderer cut up and reassembled,INCA,"Definition: South American
CAIN (=murderer, i.e. of Abel in Bible); “cut up and reassembled” indicates that the word is split in two (CA-IN), with the parts being swapped round"
99,More than one chap in stable union sporting old-fashioned underwear,UNMENTIONABLES,"Definition: old-fashioned underwear
MEN (=more than one chap) in *(STABLE UNION); “sporting” is anagram indicator"
100,Digital controls that’ll open the door of accommodation,KEYPADS,"Definition: Digital controls
KEY (=that’ll open the door) + PADS (=accommodation, e.g. bachelor pads); “digital” in the definition refers to the use of fingers"
101,A flimsy paper being disputed,AT ISSUE,"Definition: being disputed
A + TISSUE (=flimsy paper)"
102,"Drifting, sound contented, striking right attitude and missing point",PURPOSELESSNESS,"Definition: Drifting
PUR<r> (=sound contented, i.e. of cat; “striking right (=R)” means letter “r” is dropped) + POSE (=attitude) + LESS (=missing) + NESS (=point, i.e. in geography)"
103,Barnet manager praises performance after double left-right substitution,HAIRSPRAY,"Definition: Barnet manager
HAI-L-S (=praises) + P-L-AY (=performance); “after double left-right substitutions means that twice the letter “l” is replaced by an “r”; the cryptic definition refers to something to control (=manager) hair (=Barnet Fair, in Cockney rhyming slang)"
104,Turn up increasingly irritable after missing special Japanese massage,REIKI,"Definition: Japanese massage
<sp>IKIER (=increasingly irritable); “after missing special (=SP)” means letters “sp” are dropped; “turn up” indicates vertical reversal"
105,One found among tsarist oligarchy?,ARISTO,"Definition: One found among tsarist oligarchy?
Hidden (“found among”) in “ts**ARIST** **O**ligarchy”; & lit."
106,Rationing leave in unruly old unit,DOLING OUT,"Definition: Rationing 
GO (=leave, as a verb) in *(OLD UNIT); “unruly” is anagram indicator"
107,A foreign tabloid promoted with no forethought,AD LIB,"Definition: with no forethought
A + DLIB (BILD=foreign tabloid, i.e. German magazine; “promoted” indicates vertical reversal)"
108,"Yemeni leader and deputy – caught by a nationalist rising, they’re beaten",TYMPANA,"Definition: they’re beaten
[Y<emeni> (“leader” means first letter only) + MP (=deputy)] in TANA (A + NAT (=nationalist); “rising” indicates vertical reversal"
109,"Thus fluctuating pound wandered, finally losing 50%",UP AND DOWN,"Definition: Thus fluctuating pound wandered, finally losing 50%
*(POUND WAND<ered>); “finally losing 50%” means second half of word is dropped; “fluctuating” is anagram indicator; & lit."
110,"Brute follows these words, hearing U2 in translation?",ET TU,"Definition: Brute follows these words
ET TU is a translation into Latin of “you too”, a homophone (“hearing”) of U2; “Et tu, Brute?” is a quotation from Shakespeare’s Julius Caesar"
111,"Little woman taking pot, one seeing things? She’s tripping",JOURNEYER,"Definition: She’s tripping
JO (=little woman, i.e. from Louisa May Alcott’s Little Women) + URN (=pot) + EYER (=one seeing things); the definition refers to someone being on a trip, travelling"
112,Argentine leading lady initially to hold forth and let off steam,EVAPORATE,"Definition: let off steam
EVA P (=Argentine leading lady, i.e. Eva Peron; “initially” means first letter only of surname is needed) + ORATE (=to hold forth)"
113,Ref’s rants about footballers’ exchanges,TRANSFERS,"Definition: footballers’ exchanges
*(REF’S RANTS); “about” is anagram indicator"
114,Old ass picked up aromatic plant,OREGANO,"Definition: aromatic plant
O (=old) + REGANO (ONAGER=ass, i.e. donkey; “picked up” indicates vertical reversal"
115,Heavy guns deployed – underground head entering more than half suspended District and Circle line?,RADIUS,"Definition: Circle line?
RA (=heavy guns deployed, i.e. Royal Artillery) + [U<nderground> (“head of” means first letter only) in DIS<strict> (“more than half suspended” means more than half of letters are dropped); the definition refers to geometry"
116,Try heading for centre of country,TASTE,"Definition: Try
S-TATE (=country); “heading for centre” means that the first letter (“heading”) – “s” – ends up as the middle letter (“centre”)"
117,Yarn from L-Lewis?,LISLE,"L (transposed from clue) + ISLE (=Lewis, i.e. in the Outer Hebrides)"
118,Leave out // rubbish here,SKIP,"Definition: Leave out // rubbish here
Double definition"
119,Male given role in extremely noisy pre-wedding bash,HEN PARTY,"Definition: pre-wedding bash
HE(=male) + [PART (=role) in N<ois>Y (“extremely” means first and last letters only)]"
120,"Plump female, half pale and demure",FLESHY,"Definition: Plump
F (=female) + <pa>LE (“half” means half of letters only) + SHY (=demure)"
121,Team lacking power to get tough,MAN U,"Definition: Team
MAN U<p> (=to get tough); “lacking power (=P)” means letter “p” is dropped; the reference is to English football club Manchester United"
122,Policeman low on courage,BLUEBOTTLE,"Definition: Policeman
BLUE (=low, i.e. depressed) + BOTTLE (=courage, i.e. nerve)"
123,Exercise // of the law?,CONSTITUTIONAL,"Definition: Exercise // of the law?
Double definition: a constitutional is a walk for the benefit of one’s health, hence “exercise”"
124,Pictures showing leader in race coming last,PRINTS,"Definition: Pictures
S-PRINT (=race); “leader…coming last” means first letter moved to end of word"
125,Hooligan lacking in refinement after drink? Yes,TEARAWAY,"Definition: Hooligan
TEA (=drink) + RAW (= “lacking in refinement”; i.e. unrefined, unprocessed) + AY (=yes)"
126,Singer receiving help in Australian location,ADELAIDE,"Definition: Australian location
AID (=help) in ADELE (=singer, i.e. from UK, born 1988)"
127,"They moved abroad quietly, overwhelmed by various taxes",EXPATS,"Definition: They moved abroad
P (=quietly, i.e. piano) in *(TAXES); “various” is anagram indicator; & lit."
128,Surprised dance at first became popular with most of those people,CAUGHT ON THE HOP,"Definition: Surprised
CAUGHT ON (=became popular) + THE<m> (=those people; “most of” means last letter dropped) + HOP (=dance)"
129,Captain I knew getting squiffy after imbibing one tot,KIDDIEWINK,"Definition: tot
KIDD (=captain, i.e. 17th century pirate Captain William Kidd) + [I (=one) in *(I KNEW)]; “squiffy” is anagram indicator]"
130,"Box, perhaps, in theatre expensive",TREE,"Definition: Box, perhaps,
Hidden (“in”) in “thea**TRE** **E**xpensive”"
131,Small room near rear of apartment,CLOSET,"Definition: Small room
CLOSE (=near) + <apartmen>T (“rear of” means last letter only)"
132,South American chap joins some Europeans heading off east,GUYANESE,"Definition: South American
GUY (=chap) + <d>ANES (=some Europeans; “heading off” means first letter dropped) + E (=east)"
133,"You are picked up and embraced by dame, one madly in love",ENAMOURED,"Definition: in love
U R (homophone – “picked up” – of “you are”) in *(DAME ONE); “madly” is anagram indicator"
134,Artist’s opus turned out wrong,POUSSIN,"Definition: Artist
*(OPUS) + SIN (=wrong, as a noun); “turned out” is anagram indicator; the reference is to French classical painter Nicolas Poussin (1594-1665)"
135,Religious scholar shelters bishops in endless wet weather,RABBI,"Definition: Religious scholar
B B (=bishops, i.e. 2 x B) in RAI<n> (=wet weather; “endless” means last letter dropped)"
136,"Buy some junk I got that’s rubbish, absolute rubbish!",YOU MUST BE JOKING,"Definition: absolute rubbish!
*(BUY SOME JUNK I GOT); “that’s rubbish” is anagram indicator"
137,Make fantastic sort of pudding to entertain hungry aunt,FABRICATE,"Definition: Make
FAB (=fantastic) + [A<un>T (“hungry” = with nothing inside, i.e. all middle letters dropped) in RICE (=sort of pudding)]"
138,"European country – Spain – getting more in debt, reportedly",ESTONIA,"Definition: European country
E (=Spain, i.e. IVR) + homophone (“reportedly”) of “stonier” (=more in debt, cf. stony-broke); & lit."
139,Sort of meat arranged for starters during college meal,HALAL,"Definition: Sort of meat 
A<rranged> (“for starters” means first letter only) in HALL (=college meal; cf. to live in hall; hall can be the dinner itself, according to Chambers)"
140,Speaker’s insinuating examination is least important,SLIGHTEST,"Definition: least important
Homophone (“speaker’s) of “sly” (=insinuating) + TEST (=examination)"
141,One writing initially about unfortunate soldiers imprisoned by Hitler’s guards,AUTHORESS,"Definition: One writing
A<bout> U<nfortunate> (“initially” means first letters only) + [OR (=soldiers, i.e. other ranks) in THE SS (=Hitler’s guards)]"
142,Dark look of the French town,LOURDES,"Definition: French town
LOUR (=dark look) + DES (=of the French, i.e. the French for of the)"
143,Almost £25 to stay inside northern city,PRESTON,"Definition: northern city
REST (=stay) in PON<y> (=£25; “almost” means last letter dropped)"
144,What could make companion poorly?,CHILL,"CH (=companion, i.e. Companion of Honour) + ILL (=poorly); & lit."
145,Tesco’s No 1 fine wine,TOKAY,"Definition: wine
T<esco> (“No 1” means first letter only) + OKAY (=fine)"
146,The sheep circle round about male 14,PETER SCHMEICHEL,"Definition: 14
M (=male) in *(THE SHEEP CIRCLE); “round” is anagram indicator; the definition is “great Dane” (=entry at 14), referring to footballer Peter Schmeichel, Man U and Denmark goalkeeper"
147,Dissenting bombast about pre-Euro currency,RECUSANT,"Definition: Dissenting
ECUS (=pre-Euro currency) in RANT (=bombast)"
148,Gut feeling unopened cans can contain tasty starters,INSTINCT,"Definition: Gut feeling
<t>INS (=cans; “unopened” means first letter dropped) + TIN (=can) + **C**<ontain> **T**<asty> (“starters” means first letters only)"
149,Highest point of a horse only half visible when crossing river,APOGEE,"Definition: Highest point
PO (=river) in [A + **GEE**<-gee> (=horse; “only half visible” means that half of letters are dropped)]"
150,Party in front of Birnam Wood,BASH,"Definition: Party 
**B**<irnam> (“front of” means first letter only) + ASH (=wood)"
151,Fool needing to wear Superman’s first cape to gain self-satisfaction,SMUGNESS,"Definition: self-satisfaction
MUG (=fool) in [**S**<uperman> (“first” means first letter only) + NESS (=cape, i.e. headland)]"
152,Sets ultimately for so long,RADIOS,"Definition: Sets
<fo>**R **(“ultimately” means last letter only) + ADIOS (=so long)"
153,Test of French in examination,ORDEAL,"Definition: Test
DE (=of French, i.e. of in French) in ORAL (=examination)"
154,Press prize awarded by committee,CUPBOARD,"Definition: Press
CUP (=prize) + BOARD (=committee)"
155,Reported full agreement,PACT,"Definition: agreement
Homophone (“reported”) of “packed” (=full)"
156,"Setter in heat, misbehaving with oddly curly 14",TYCHO BRAHE,"Definition: 14
HOB (=setter, i.e. of this crossword) in *(HEAT + **C**<u>**R**>l>**Y**); “oddly” means odd letters only are used; “misbehaving” is anagram indicator; the definition is “great Dane” (=entry at 14), referring to the Danish nobleman Tycho Brahe (1546-1601), known for his accurate astronomical and planetary observations"
157,Genetically-modified article eaten by dog,MUTANT,"Definition: Genetically-modified
AN (=article) in MUTT (=dog, i.e. a mongrel)"
158,Genius // shown by Disney’s 14,EINSTEIN,"Definition: Genius
Double definition: the reference is to German physicist Albert Einstein (1879-1955) AND to a Great Dane (=entry at 14) called Einstein in the 1988 Disney film"
159,Baltic people said to bear always big-eared youngsters,LEVERETS,"Definition: big-eared youngsters
EVER (=always) in homophone (“said”) of Letts (=Baltic people)"
160,Language of love seen on kiss with hot sex appeal,XHOSA,"Definition: Language
O (=love, i.e. nil) in [X (=kiss, i.e. at end of letters) + H (=hot, i.e. on tap) + SA (=sex appeal)]; Xhosa is a Bantu language of South Africa"
161,Fear // of god,PANIC,"Definition: Fear // of god
Double definition; panic can mean relating to the god Pan, hence “of god”"
162,Came across books about family emblem,TOTEM,"Definition: family emblem
MET (=came across) + OT (=books, i.e. Old Testament); “about” indicate vertical reversal"
163,Scottish engineer with cycle smuggled cattle,RANKINE,"Definition: Scottish engineer with cycle
RAN (=smuggled) + KINE (=cattle, i.e. Biblical); the reference is to Scottish engineer William Rankine (1820-72), who devised the Rankine cycle to predict the performance of steam engines"
164,Blighters recited gags,RETCHES,"Definition: gags
Homophone (“recited”) of “wretches” (=blighters)"
165,"Slow-moving vehicle in West Sussex town, shortly to go over river",CRAWLER,"Definition: Slow-moving vehicle
CRAWLE<y> (=West Sussex town; “shortly” means last letter dropped) + R (=river)"
166,14 finally calculates 10000 x 50000,SCOOBY-DOO,"Definition: 14
<calculate>**S** (“finally” means last letter only) + C (=100) + 00 + BY (=x, as in 6ft x 5ft) + D (=500) + 00; the figures in the clue are broken down in the wordplay; the definition is Great Dane (=entry at 14), referring to a Great Dane called Scooby-Doo in the Hanna-Barbera cartoon of the same name"
167,14 with no time for cavorting in brothels,NIELS BOHR,"Definition: 14 
*(IN BRO<t>HELS); “no time (=T)” means letter “t” dropped from anagram, indicated by “cavorting”; the definition is “great Dane” (=entry at 14), referring to Danish physicist Niels Bohr (1885-1962)"
168,How the Queen may be addressed by a noble 14,MARMADUKE,"Definition: 14
MARM (=how the Queen may be addressed, i.e. ma’am) + A + DUKE (=noble); the definition is Great Dane (=entry at 14), referring to a Great Dane called Marmaduke in the cartoon strip by Brad Anderson"
169,Hamlet possibly ate garden produce,GREAT DANE,"Definition: Hamlet possibly
*(ATE GARDEN); “produce” is anagram indicator"
