,Clue,Answer,Explanation
39,Inferior school to get equipment first (6),KITSCH,Definition: ”Inferior”. SCH[ool] with KIT=”equipment” first
40,"Study, entering further exam for junior hospital doctor (8)",RESIDENT,"Definition: ”junior hospital doctor”. DEN=”Study”, entering RESIT=”further exam”"
41,Saline drip? (4),TEAR,cryptic def – referring to the salt in teardrops
42,"Fast food outlet? (6,3)",DINING CAR,"cryptic def – it’s the outlet that is fast, not the food"
43,The one on the right of them (5),THEIR,Definition: ”of them”. THE plus I=”one” plus R[ight]
44,Leave scribbled note offering lift (7),ELEVATE,Definition: ”lift”. (leave)* plus TE=ti=”note”
45,A duck for this celebrated bowler? (5),DRAKE,Definition: ”A duck”; =”celebrated bowler”: Sir Francis DRAKE famously played bowls as the Spanish Armada approached
46,Not far out in marine navigation (7),INSHORE,cryptic def
47,"Extensively used sort of folder, found abandoned on table extension? (5-4)",LOOSE-LEAF,Definition: ”Extensively used sort of folder”. LOOSE=”abandoned” plus LEAF=a folding “table extension”
48,"Local authority, giving sound advice (7)",COUNCIL,Definition: ”Local authority”. Sounds like ‘counsel’=”advice”
49,Forenames out of place for member of a secret order (9),FREEMASON,Definition: ”member of a secret order”. (Forenames)*
50,"Extent of usefulness on board (5,4)",SHELF LIFE,Definition: ”Extent of usefulness” on a SHELF or “board”
51,"Slightly damaged, so withdrawn (9)",SCRATCHED,Definition: ”Slightly damaged”; =”withdrawn” from a competition
52,One who is against work has a problem (7),OPPOSER,Definition: ”One who is against”. OP=”work” plus POSER=”problem”
53,Moves near the capital (7),TEHERAN,Definition: ”capital” of Iran. (near the)*
54,Company doctor is amusing (7),COMEDIC,Definition: ”amusing”. CO[mpany] plus MEDIC=”doctor”
55,Sailor came up to wrong dock (5),BASIN,Definition: ”dock”. rev(AB)=”Sailor came up” plus SIN=”wrong”
56,"Man of property, three quarters in gold (5)",OWNER,"Definition: ”Man of property”. W[est], N[orth] and E[ast] are “three quarters”, all inside OR=”gold”"
57,European Commission about to restrict non-standard dance rhythm (7),CADENCE,Definition: ”rhythm”. E[uropean] C[ommission] reversed [“about”] and around [“to restrict”] (dance)*
58,"White copper put black boy in cell without clothes (3,4)",CUE BALL,"Definition: ”White” in snooker. Cu=”copper”, plus B[lack] plus AL=”boy” in [c]EL[l], where “cell” is without its “clothes” or outer letters"
59,Big British clearing banks seeing problem (6),IRITIS,"Definition: ”seeing problem”. [B]I[g] [B]RITIS[h], without their “banks” or outer letters"
60,Cockney was required to make uniform of acceptable quality (8),ADEQUATE,"Definition: ”of acceptable quality”. [h]’AD to=”Cockney was required to”, plus EQUATE=”make uniform”"
61,"Oddly withdrawn, bitchy and hostile (3)",ICY,Definition: ”Hostile”. [b]I[t]C[h]Y with the odd letters withdrawn
62,"Duck died, sounding strange (6)",DEARIE,"Definition: ”Duck”. D[ied], plus EARIE which sounds like ‘eerie’=”strange”"
63,"Alluring, like a Pole? (8)",MAGNETIC,"cryptic def, referring to the poles of a magnet"
64,"Not clean or suitable for all to see, lust could be good (5)",USING,"Definition: ”Not clean” as in USING drugs. U=”suitable for all to see”, plus SIN=”lust could be”, plus G[ood]"
65,"Pink, turning red, on dune (9)",UNDERDONE,Definition: ”Pink” meat. (red on dune)*
66,People love to hold back change (9),MENOPAUSE,Definition: ”change”. MEN=”People” plus O=”love” plus PAUSE=”hold back”
67,"With time to spare, like an aristocrat? (5)",EARLY,Definition: ”With time to spare”. EARL-Y=”like an aristocrat?”
68,"Ban hare coursing, a Cuban speciality (8)",HABANERA,Definition: ”Cuban speciality”. (Ban hare)* plus A
69,"Traumatised son left owing money (2,4)",IN HOCK,"Definition: ”owing money”. IN [**s**]HOCK=”Traumatised”, minus a **s**[on]"
70,0-1 in Holland (3),NIL,"Definition: ”0″. I=”1″, inside NL=Netherlands=”Holland”"
71,"Women’s groups, ordered to accept married men, refuse (8)",WITHHOLD,"Definition: ”refuse”. W[omen’s] I[nstitutes], plus TOLD=”ordered” around H[usband] H[usband]=”married men”"
72,Box of vibrators? (6),LARYNX,cryptic def – the vibrators being vocal cords
73,Bad priests continue to exist (7),PERSIST,Definition: ”continue to exist”. (priests)*
74,"Vatican report “entirely groundless” (4,3)",HOLY SEE,Definition: ”Vatican”. sounds like ‘wholly sea’ or “entirely groundless”
75,Smooth head shaved close (7),AIRLESS,"Definition: ”close” or stuffy. [h]AIRLESS=”Smooth head, [with the first letter] shaved”"
76,"Have sympathetic understanding for fluid retention (5,4)",ENTER INTO,Definition: ”Have sympathetic understanding”. (retention)*
77,"They keep eggs warm, because that’s the point of incubators (6)",COSIES,Definition: ”They keep eggs warm”. COS=”because” plus IE=that is=”that’s” plus the point of [incubator]S
78,"Anorak supremely unsuited on floating ice, I’m afraid (8)",UBERGEEK,Definition: ”Anorak”. U[nsuited] plus BERG=”floating ice” plus EEK=”I’m afraid”
79,Bestial Caesar’s last word? (5),BRUTE,"Definition: ”Bestial”; =”Caesar’s last word?” as in ‘Et tu, Brute?”"
80,Soviet grandmaster returned by way of northern Baltic (7),LATVIAN,"Definition: ”Baltic”. Mikhail TAL was a Soviet (and Latvian) grandmaster and world chess champion. TAL is reversed [“returned”], plus VIA=”by way of” plus N[orthern]"
81,"Tax haven is scandal many put to bad use (6,7)",CAYMAN ISLANDS,Definition: ”Tax haven”. (is scandal many)*
82,Are unsure about blood group ahead of extremely messy treatment (9),DIATHERMY,"Definition: ”treatment” – a heating of internal parts of the body by electric currents. DITHER=”Are unsure”, about A=”blood group” plus M[ess]Y=”extremely messy”"
83,Retreat initially over cutting 75% of benefits for the poor (4-4),HAVE-NOTS,"Definition: ”the poor”. HAVEN=”Retreat”, plus O[ver], plus [benefi]TS with its first 75% cut"
84,Starts to express vexation when setter’s vague (7),EVASIVE,"Definition: ”vague”. E[xpress] V[exation], plus AS=”when” plus I’VE=”setter’s”"
85,Sanction excess freedom for poet? (7),LICENCE,"Definition: ”Sanction”, =”excess freedom” when it is poetic LICENCE"
86,In the bathtub I’ll yodel anything (5-1),BILLY-O,‘like BILLY-O’ = like “anything”. Hidden in [bathtu]B I’LL Y[odel]
87,"Hard-hearted “fit-for-work” company, one of a combative trio (5)",ATHOS,"Definition: ”one of a combative trio” of the Three Musketeers. ATOS=”fit-for-work” company, with H[ard] at its heart"
88,Are you having me on the crag rocks? (7),GERTCHA,"Definition: ”Are you having me on[?]”, slang for ‘get away’, ‘come off it’. (the crag)*"
89,Not a nomad liked by creditors (7),SETTLER,"Definition: ”Not a nomad”, someone who settles down in one place; =”liked by creditors”, someone who settles their debts"
90,"Akin to a judge’s robes, pants? (5)",SOBER,"Definition: ”Akin to a judge”, as in ‘sober as a judge’. (robes)*"
91,"Capital broadcast sinned against capital’s tendency to empathise with abductors? (9,8)",STOCKHOLM SYNDROME,"Definition: ”tendency to empathise with abductors”. STOCKHOLM=”capital”, SYND sounds like (broadcast) “sinned”, ROME=”capital”"
92,Best rivals to compute creatively on Earth (10),OUTCOMPETE,"Definition: ”Best rivals”, “Best” as in to do better than. (to compute)*, plus E[arth]"
93,"Squid-like, powerless finger (4)",INKY,"Definition: ”Squid-like”. [**p**]INKY=”finger”, missing **P**[ower]"
94,"Dark sort of tales of a northerner and wrought iron (12,4)",SCANDINAVIAN NOIR,Definition: ”Dark sort of tales”. SCANDINAVIAN=”northerner” plus (iron)*
95,"Compel family to cycle (should not go out during major sporting event) (7,5)",OLYMPIC FLAME,Definition: ”should not go out during major sporting event”. (Compel family)*
96,Vein running through Tiepolo design (4),LODE,Definition: ”Vein”. Hidden in “TiepoLO DEsign”
97,The thing about politician high fliers is weakness (10),IMPAIRMENT,"Definition: ”weakness”. IT=”The thing”, around MP=”politician” and AIRMEN=”high fliers”"
98,Rotating proton pen champion (9),PROPONENT,Definition: ”champion”. (proton pen)*
99,Comic entertainer and where he often performed with balls (7),PIERROT,"Definition: ”Comic entertainer”. PIER=”where he often performed”, plus ROT=”balls”=nonsense"
100,Toucan’s migratory natural impulse (7),CONATUS,Definition: ”natural impulse”. (Toucan’s)*
101,Large sum borne by 14 city with industrial action (2-4),GO-SLOW,"Definition: ”industiral action”. G[rand]=”Large sum”, plus OSLO=”[Scandinavian] city”, plus W[ith]"
102,Right about improvised flexibility of tempo (6),RUBATO,"Definition: ”flexibility of tempo”, modified or distorted rhythm. R[ight] plus (about)*"
103,"It looks just the same as small engine part and performing ape (6,4)",CARBON COPY,"Definition: ”It looks just the same”. CAR BON[net]=”small engine part”, plus COPY=”performing ape”"
104,"A model, upwardly mobile Greek writer (5)",AESOP,"Definition: ”Greek writer”. A plus rev(POSE)=”model, upwardly mobile”"
105,"Trails off — without question a mockery of justice (4,5)",SHOW TRIAL,"Definition: ”mockery of justice”. (Trails)*, around HOW=”question”"
106,"Be hopeful Nick is on the organ (4,5)",TAKE HEART,Definition: ”Be hopeful”. TAKE=”Nick” plus HEART=”organ”
107,Is an only alternative for an old European province (8),LYONNAIS,a historical province of France. (Is an only)*
108,Camera may analyse housing saga of India (8),RAMAYANA,Definition: ”saga of India”. Hidden in “CameRA MAY ANAlyse”
109,County town vehicle to drive home in reverse at that point (10),CARMARTHEN,Definition: ”County town” in Wales. CAR=”vehicle” plus rev(RAM)=”drive home in reverse” plus THEN=”at that point”
110,"Ten common moves of which I’ll not speak (2,7)",NO COMMENT,Definition: ”I’ll not speak”. (Ten common)*
111,One’s into lounge music that’s sticky sweet (8),LOLLIPOP,"Definition: ”sticky sweet”. I=”One”, inside LOLL=”lounge” and POP=”music”"
112,Carted off to do some editing (6),REDACT,Definition: ”do some editing”. (Carted)*
113,"Ear inflammation aggravated, so it doubled (6)",OTITIS,Definition: ”Ear inflammation”. (so it it)*
114,"Tricky thing, being contra the speed of light (5)",ANTIC,Definition: ”Tricky thing”. ANTI=”contra” plus C=”speed of light”
115,Sprinkler required after Penny gets border plant (8),PRIMROSE,"Definition: ”plant”. ROSE=a perforated nozzle=”Sprinkler”, after P[enny] plus RIM=”border”"
116,Members of the aristocracy lounge on Sunday (6),BARONS,"Definition: ”Members of the aristocracy”. BAR=”lounge”, plus ON, plus S[unday]"
117,"Begin hostilities in a hot place (4,4)",OPEN FIRE,Definition: ”Begin hostilities”; =”a hot place”
118,"Wine stored in port and aged (4,2)",PAST IT,Definition: ”aged”. ASTI=”Wine” in PT=”port”
119,Seeds taking some beating (5),PULSE,Definition: ”Seeds”; =”some beating”
120,Pinochet’s muddled analysis of speech (9),PHONETICS,Definition: ”analysis of speech”. (Pinochet’s)*
121,"A place for cropping trials in Slough (8,4)",SHEARING SHED,Definition: ”A place for cropping” sheep. HEARINGS=”trials” in SHED=”Slough”
122,"Ambitious and venomous reptile, one that’s intelligent (12)",ASPIRATIONAL,Definition: ”Ambitious”. ASP=”venomous reptile” plus I=”one” plus RATIONAL=”intelligent”
123,"European’s gone? Put away (6,3)",POLISH OFF,cryptically =”European’s gone”; =”Put away”
124,Promiscuous European after the toilets (5),LOOSE,Definition: ”Promiscuous”. E[uropean] after LOOS=”toilets”
125,Doctor broke tureen (6),NEUTER,Definition: ”Doctor”. (tureen)*
126,Wayward congressman rejected poetry (8),PERVERSE,"Definition: ”Wayward”. REP[resentative]=”congressman” reversed (“rejected”), plus VERSE=”poetry”"
127,Mention hiding earl’s jacket (6),REEFER,"a short thick double-breasted “jacket”. REFER=”Mention”, around E[arl]"
128,Pioneer showed the way in a state of shock (8),STARTLED,"Definition: ”in a state of shock”. START=”Pioneer” as a verb, plus LED=”showed the way”"
129,Quick and easy victory in gymnastics (6),PROMPT,"Definition: ”Quick”. ROMP=”easy victory”, in P[hysical] T[herapy]=”gymnastics”"
130,High standards of ladies become corrupted (6),IDEALS,Definition: ”High standards”. (ladies)*
131,Drink in training review (9),REFRESHER,Definition: a “Drink” that refreshes; =”training review” or refresher course
132,"Presently about to fall over transport — drawing amusement? (5,7)",STRIP CARTOON,Definition: ”drawing amusement”. SOON=”presently” around TRIP=”fall over” plus CAR**T**=”transport”. **Edit thanks to DavinNCarolina**
133,Saw one’s daughter get on (5),ADAGE,Definition: an old “Saw”. A=”one” plus D[aughter] plus AGE=”get on”
134,Absolutely impossible Conservative (8),OUTRIGHT,"Definition: ”Absolute”. OUT=not to be considered=”impossible”, plus RIGHT=”Conservative”"
135,"Dismiss Greek characters in team (3,5)",SET ASIDE,Definition: ”Dismiss”. ETAS=”Greek characters” in SIDE=”team”
136,"Chain of events making me infect food, accidentally (6,6)",DOMINO EFFECT,Definition: ”Chain of events”. (me infect food)*
137,"German aristocrat always found in a car (4,5)",GEAR LEVER,Definition: ”found in a car”. G[erman] plus EARL=”aristocrat” plus EVER=”always”
138,Lady reading about writer is a spoilsport (8),DAMPENER,"Definition: ”spoilsport”. DAME=”Lady” plus R[eading] (the first of the 3 R’s), both around PEN=”writer”"
139,Primate accepts Paul’s dubious accolade (8),APPLAUSE,"Definition: ”accolade”. APE=”Primate”, around (Paul’s)*"
140,Enclosure puts Rex in the pink (6),CORRAL,Definition: ”Enclosure”. R[ex] in CORAL=”pink”
141,Ambassador in sight of guillotine (6),BEHEAD,"Definition: ”guillotine”. H[is] E[xcellency]=”Ambassador”, in BEAD=”sight” of a gun."
142,Foreigner is initially Sheffield United player (5),SWEDE,"Definition: ”Foreigner”. S[heffield] initially, plus WED=”United” plus E[ast]=”player” in bridge."
143,Sect conceals a blow from weapon (8),CATAPULT,Definition: ”weapon”. CULT=”Sect” around A TAP=”a blow”
144,Cold river has Oxford crew in deep water (6),CRISIS,Definition: ”deep water”. C[old] plus R[iver] plus ISIS=”Oxford [reserve rowing] crew”
145,Keen little page (4),WEEP,"Definition: ”Keen”. WEE=”little”, plus P[age]"
146,Agile people initially take additive (10),SUPPLEMENT,"Definition: ”additive”. SUPPLE MEN=”Agile people”, plus T[ake]"
147,Theologian in last stand — one wanting a lot (6),BIDDER,"Definition: ”one wanting a lot” at auction. D[octor] of D[ivinity]=”Theologian”, in BIER=”last stand” for a coffin"
148,Doctor misfiles delic­ate papers (8),FLIMSIES,Definition: ”delicate papers”. (misfiles)*
149,The French trial is news (6),LATEST,"Definition: ”news”. LA=”The [in] French”, plus TEST=”trial”"
150,A Parisian longs for lingerie (6),UNDIES,"Definition: ”lingerie”. UN=”A [in] Parisian [French]”, plus DIES=”longs” (as in ‘dying for a coffee’)"
151,Hire broken machine that’s regularly passed on (8),HEIRLOOM,Definition: ”that’s regularly passed on”. (Hire)* plus LOOM=”machine”
152,Notices a cow’s tail swing (6),SEESAW,"Definition: ”swing”. SEES A=”Notices a”, plus [co]W"
153,"Random pile scattered by rotavator, for example (10)",PALINDROME,"Definition: ”rotavator, for example”. (Random pile)*"
154,Fish to European rules (4),CODE,Definition: ”rules”. COD=”Fish” plus E[uropean]
155,River perpetually split partners (6),SEVERN,"Definition: ”River”. EVER=”perpetually”, inside S[outh] and N[orth], bridge “partners”"
156,Man collected fortune from the oldest profession (8),HARLOTRY,"Definition: ”the oldest profession”. HARRY=”Man”, around LOT=”fortune”"
157,Let Maria make up stuff (8),MATERIAL,Definition: ”stuff”. (Let Maria)*
158,Financial restriction accepted — many affected (4),CAMP,Definition: ”affected”. CAP=”financial restriction” around M=”many”=thousand in Roman numerals / short for ‘millions’
159,Prize royal officer on board (6),PURSER,a naval paymaster =”officer on board”. PURSE=”Prize” plus R[ex]/R[egina]=king/queen=”royal”
160,Vegetable child of the family eats whole (8),SCALLION,"Definition: ”Vegetable”. SCION=”child of the family”, around ALL=”whole”"
161,"Is girl in place of ill repute, sneering? (10)",DISMISSIVE,"Definition: ”sneering”. IS MISS=”Is girl”, in DIVE=”place of ill repute”"
162,Intended female to meet Scot at church (6),FIANCE,Definition: ”Intended”. F[emale] plus IAN=”Scot” plus C[hurch] of E[ngland]
163,Inside information that gratuity’s unsatisfactory (3-3),TIP-OFF,Definition: ”Inside information”; TIP=”gratuity” plus OFF=”unsatisfactory”
164,"Intimidate colliery director, being resolute (10)",DETERMINED,Definition: ”resolute”. DETER=”Intimidate” plus MINE=”colliery” plus D[irector]
165,Spill the beans about frosty lecture (8),SCOLDING,"Definition: ”lecture”. SING=”Spill the beans”, around COLD=”frosty”"
166,Fruit tree or evergreen (8),STANDARD,Definition: a “Fruit tree” grown erect and to full height; =”evergreen”=something that endures
167,Keep quiet about controversial plane (6),SMOOTH,Definition: ”plane” (of a surface). SH=”Keep quiet” around MOOT=”controversial”
168,Got rid of Red Sea problem (6),ERASED,Definition: ”Got rid of”. (Red Sea)*
169,Make a mistake in retiring for a drink (6),SHERRY,"Definition: ”a drink”. ERR=”Make a mistake”, around SHY=”retiring”"
170,College has account for jam (4),CLOG,Definition: ”jam”. C[ollege] plus LOG=”account”
171,Upstanding characters are as patent in the county (6),BIPEDS,Definition: ”Upstanding characters”. I[ntellectual] P[roperty]=”patent” in BEDS=Bedfordshire=”county”
172,"Meantime, I make way for firm’s in-house phone system (8)",INTERCOM,"Definition: ”in-house phone system”. INTER[**i**]M=”Meantime”, with the **I** making way for CO[mpany]=”firm”"
173,Syrian leader in power to leave office (6),RESIGN,Definition: ”leave office”. S[yrian] in REIGN=”power”
174,"States accepted by Poles, perhaps, for adoption (8)",ESPOUSAL,"Definition: ”adoption”. USA=”States”, inside (Poles)*"
175,"The French, about four in the morning, may start mating with it filling the blanks? Au contraire! (4,10)",LIVE AMMUNITION,"Definition: ”blanks? Au contraire!”. LE=”The [in] French”, around IV=”four” in Roman numerals, plus AM=”in the morning”, plus M[ay], plus UNION=”mating” around IT"
176,"Seeing Troy destroyed by donating a gift, for example (10)",GENEROSITY,"Definition: ”donating a gift, for example”. (Seeing Troy)*"
177,Greta Garbo’s agent? (4),AGAR,Definition: a thickening “agent”. Contained in “Greta Garbo” – the **‘s** is a contraction of ‘has’
178,Nearly all of very coy men get beaten (8),OVERCOME,Definition: ”beaten”. O[f] VER[y] CO[y] ME[n]
179,"Nothing underground is part of the circuit (6,4)",VACUUM TUBE,"Definition: ”part of the circuit”, an electronic component. VACUUM=”nothing” plus TUBE=”underground” railway"
180,"Line taken by screen devotee about minist­erial residence, almost a game (5,4,5)",BLIND MANS BLUFF,"Definition: ”a game”. L[ine] inside BLIND=”screen” plus BUFF=”devotee”, around MANS[e]=”ministerial [i.e. clergyman’s] residence, almost”,"
181,Teachers’ fire dies out (8),EDIFIERS,Definition: ”Teachers”. (fire dies)*
182,Escort’s performance at technological centre (6),GIGOLO,“Escort”. GIG=”performance” plus [techn]OLO[gical]
183,Joint drinks parties (5-3),KNEES-UPS,Definition: ”parties”. KNEE=”Joint” plus SUPS=”drinks”
184,Sound made by one old lover in the wing (6),ANNEXE,Definition: ”wing”. Sounds like ‘an ex’=”one old lover”
185,Chocolate soap? (4),BARS,…BARS can be made either of Chocolate or Soap
186,Strong feeling includes animated extract from panel discussion (7),PASSION,"Definition: ”Strong feeling”. (includes)*, removed from PA[nel discu]SSION"
187,Might he be 7 5 or 16 22 with 15? (8),DOGBERRY,"a character from Shakespeare’s Much Ado About Nothing, prone to misusing words – he might therefore be CASTING NASTURTIUMS [aspersions] or OVER COME with EMULSION [emotion]"
188,Plants possibly turn as one in rising filth (11),NASTURTIUMS,"Definition: ”Plants”. (turn as), plus I=”one” in reversal (“rising”) of SMUT=”filth”"
189,Fancy that is no longer focused on the ear (6),EXOTIC,"Definition: ”Fancy”. EX=”that is no longer”, plus OTIC=relating to/”focused on the ear”"
190,Sing and act? Resulting in selection (7),CASTING,Definition: ”selection”. (Sing act)*
191,"Tender rules, almost meant to be broken (4,5)",MALE NURSE,Definition: ”Tender” to the unwell. (rules mean[t])*
192,"Might she be 7 5 or 16 22 with 15? (3,8)",MRS MALAPROP,"like Dogberry, famous for the use of incorrect words"
193,Escape from Olga? (9),GAOLBREAK,Definition: ”Escape”. GAOL BREAK in crossword-ese might mean (GAOL)*=>”Olga”
194,Perhaps milk with muesli made available (8),EMULSION,Definition: ”Perhaps milk’. (muesli)* plus ON=”available”
195,23 church to replace Queen’s monument (7),EDIFICE,"Definition: ”monument”. 23=”EDIFI[**ERS**]”, with C[hurch] of E[ngland] replacing **E**[lizabeth] **R**[egina]’**S**=”Queen’s”"
196,"Not just tuneless, with zero potential released (7)",UNFROZE,"Definition: ”released”. UNF[**air**]=”Not just”, less **air**=”tune”, plus (zero)*"
197,Gives access to passages round mountain top (6),ADMITS,"Definition: ”Gives access to”. ADITS=”passages”, around M[ountain]"
198,"Caught with dancing muse in river, I’m sorry I have to go (6,2)",EXCUSE ME,"Definition: ”I’m sorry I have to go”. C[aught] is a cricketing abbreviation, together with (muse)*, all inside EXE=”river” in Devon"
199,Perfunctory “medic” with heart replacement (5),QUICK,"Definition: ”Perfunctory”. QU**a**CK=”medic” complete with skeptical quote marks, and with the **a **at it’s heart replaced with an **I**"
200,Second favourite revolving stage (4),STEP,Definition: ”stage”. S[econd] plus reversal (“revolving”) of PET=”favourite”
201,"Old master’s dreadful composition — see inside (6,4)",FEUDAL LORD,Definition: ”Old master”. (dreadful)* with LO=”see” [over there!] inside
202,Tart’s topping dislodged by Jack’s nervous movement (6),JITTER,"Definition: ”nervous movement”. **b**ITTER=”Tart”, with the top **b** dislodged by J[ack]"
203,"Back cooler on top of fur cape, which is just awful (8)",NAFFNESS,"Definition: ”which is just awful”. Reversal (“Back”) of FAN=”cooler”, with the top letter of F[ur], plus NESS=”cape”"
204,Capital new look waistband (7),NAIROBI,Definition: ”Capital”. N[ew] plus AIR=”look” plus OBI=”waistband”
205,A bit of a state when completely surrounded by foreigners (7),EXCLAVE,Definition: a portion of a state (nation) that is entirely surrounded by other states’ territory. The cryptic definition suggests a personal unease at being among foreigners.
206,X-ray unit processes not green (8),ROENTGEN,Definition: an old unit of measurement for X-rays. (not green)*
207,Like more piano? Relate (6),PREFER,Definition: ”Like more”. P[iano] plus REFER=”Relate”
208,"Take care to avoid ox on plain (5,5)",STEER CLEAR,Definition: ”Take care to avoid”. STEER=”ox” plu CLEAR=”plain”
209,Beat bird back (4),TONK,Definition: ”Beat”. reversal (“back”) of KNOT=a wading bird
210,Easily get through Disney zone? (5),WALTZ,"Definition: ”Easily get through”. WALT Disney, plus Z[one]"
211,Insecure person taking drugs as the answer (8),RESPONSE,"Definition: ”answer”. (Person)*, taking E’S=plural of E[cstasy]=”drugs” inside it"
212,"A country’s get-out: providing former broadcaster with tax-free investment (4,4)",EXIT VISA,Definition: ”A country’s get-out”. EX=”former” plus ITV=”broadcaster” plus ISA=”tax-free investment”
213,Livestock provided in here free (6),HEIFER,Definition: ”Livestock”. IF=”provided” in (here)*
214,Old lay sister being involved with EU (7),BEGUINE,Definition: ”Old lay sister” – members of a female lay Christian order. (being EU)*
215,Paraquat has no peripheral role as water (4),AQUA,Definition: ”water”. Hidden in [Par]AQUA[t]
