,Clue,Answer,Explanation
14,Still time to ride competitively (5),EVENT,"Still time to ride competitively (5) 
EVEN (still) T"
15,Truly evil bank entertains heartless crime (9),SINCERELY,"Truly evil bank entertains heartless crime (9) 
SIN (evil) C(rim)E RELY (bank)"
16,Square it with American emperor (5),TITUS,"Square it with American emperor (5) 
T-square it U.S."
17,Neo in time left old Penny for Beryl (7),EMERALD,"Neo in time left old Penny for Beryl (7) 
E(ME)RA (Neo, ie the setter, therefore ME, in ERA (time)) L(left) D (old penny). (*I don’t like using capitalized names as definitions unless they are the first word in a sentence, but others don’t mind it*)"
18,"European Cup, Italy’s ground, and some trees (9)",EUCALYPTI,"European Cup, Italy’s ground, and some trees (9) 
E(European) *(cup Italy) (“ground” is the anagrind)."
19,Charming Prince Otto gorged on a root vegetable (5-6),SWEET POTATO,"Charming Prince Otto gorged on a root vegetable (5-6) 
SWEET (charming) P(rince) OT(A)TO (gorged on – container indicator)"
20,Eggs tossed around in Benfica v Osasuna (3),OVA,"Eggs tossed around in Benfica v Osasuna (3) 
Hidden in reversal of Benfic**A V O**sasuna (Not sure about this surface, but in any case, Barcelona may have been better as they play in the same league as Osasuna?)"
21,Maybe G8 leaders to end talks after month (5),OCTET,"Maybe G8 leaders to end talks after month (5) 
OCT ET(leaders of End Talks)"
22,National PM twice denied Democrat (7),ISRAELI,"National PM twice denied Democrat (7) 
(D)israeli. (Benjamin Disraeli (who was Prime Minister twice in the 19th century))"
23,Moving about meant carrying correct change (9),AMENDMENT,"Moving about meant carrying correct change (9) 
MEND (correct) in *(meant)."
24,"Retiring chap has drunken drongo on toast (6,5)",GORDON BROWN,"Retiring chap has drunken drongo on toast (6,5) 
*(drongo) BROWN (toast). (Ex-PM, Gordon Brown, is due to stand down at the next General Election)"
25,"Post returned by British sailors, ashore at last for realistic treasury man (4,5)",LIAM BYRNE,"Post returned by British sailors, ashore at last for realistic treasury man (4,5) 
LIAM (MAIL returned) BY RN (British sailors – Royal Navy) (ashor)E. (Liam Byrne was Chief Secretary to the Treasury under Gordon Brown – *not sure why “realistic” is there*?)"
26,Worker in dock – first wife died in shop (9),STEVEDORE,"Worker in dock – first wife died in shop (9)
 
EVE D (first wife died) in STORE (shop)."
27,Having diamonds only shows integrity (7),JUSTICE,"Having diamonds only shows integrity (7) 
JUST ICE (diamonds only)"
28,Husband’s somewhat loose garment (5),HABIT,"Husband’s somewhat loose garment (5) 
H(husband) A BIT(somewhat)"
29,Montgomery the jazzer in stitch- up (3),WES,Montgomery the jazzer in stitch- up (3)
30,"New gun called ball out at this sporting venue (3-7,4)",ALL-ENGLAND CLUB,"New gun called ball out at this sporting venue (3-7,4) 
*(N gun called ball). The All-England Club is of course the venue of the Wimbledon tennis championships."
31,Explosive can reverse radioactive outflow initially (5),NITRO,"Explosive can reverse radioactive outflow initially (5) 
<=TIN initials of **R**adioactive **O**utflow"
32,Examination of sari torn during outrage (9),APPRAISAL,"Examination of sari torn during outrage (9) 
APP (*(sari)) AL"
33,Oblivious to a series of battles in a French . . . . (7),UNAWARE,"Oblivious to a series of battles in a French . . . . (7) 
UN (A WAR) E"
34,. . . . symbol for an official oil company (7),CHEVRON,". . . . symbol for an official oil company (7) 
Double definition. Chevron is the third largest company int he world, according to *Forbes* magazine."
35,Scram warranted (5),LEGIT,"Scram warranted (5) 
Leg it!"
36,Unfair tie arouses anger (9),INFURIATE,"Unfair tie arouses anger (9) 
*(unfair tie)"
37,Never once upset by what Vera Lynn said we’ll do (9),RECONVENE,"Never once upset by what Vera Lynn said we’ll do (9) 
*(never once). “We’ll Meet Aagin…”"
38,Flat-nosed French writer (5),CAMUS,Flat-nosed French writer (5)
39,Go across a Georgian corridor (7),PASSAGE,"Go across a Georgian corridor (7) 
Not sure of the parsing of this. PASS A GE (does GE = Georgian?)"
40,Bandage within rider’s seat (7),SWADDLE,"Bandage within rider’s seat (7) 
S(W)ADDLE – with in rather than “within” – some people don’t like this sort of device. I’m neutral on it."
41,Money retained by rake’s only 50% on a regular basis (9),ROUTINELY,"Money retained by rake’s only 50% on a regular basis (9) 
ROU(TIN)E (on)LY (50% of only)"
42,Allocate place in roost (5),,Allocate place in roost (5)
43,"Instruction to cast candies to tiger (wild) (5,9)",STAGE DIRECTION,"Instruction to cast candies to tiger (wild) (5,9) 
*(candies to tiger)"
44,Allow hot cigar to be crushed lifeless (9),LETHARGIC,"Allow hot cigar to be crushed lifeless (9) 
Let H = *(cigar)"
45,Contagion in a part of the ear’s back (5),EBOLA,"Contagion in a part of the ear’s back (5) 
<=A LOBE. Topical!"
46,A Green VIP fabricated the rumour (9),GRAPEVINE,"A Green VIP fabricated the rumour (9) 
*(a green VIP)"
47,A clear jelly of a snake (5),ASPIC,"A clear jelly of a snake (5) 
ASPIC ~ “like an asp” (sort of)"
48,No say in Armistice Day programme? Just the opposite (9),DIAMETRIC,"No say in Armistice Day programme? Just the opposite (9) 
*(Armistice Day – SAY). Don’t think I’ve seen “programme” as an anagrind before."
49,Acronym that sheds light for drunken earls (5),LASER,"Acronym that sheds light for drunken earls (5) 
*(earls) – LASER stands for “light amplification by stimulated emission of radiation”. Can an acronym shed light?"
50,"Parts of 9,19 enable the chartered accountant’s second analysis (7,6)",BALANCE SHEETS,"Parts of 9,19 enable the chartered accountant’s second analysis (7,6) 
*(enable the CA’s) S"
51,"Agitated rant on perusal of corporate results (6,7)",ANNUAL REPORTS,"Agitated rant on perusal of corporate results (6,7) 
*(rant on perusal)"
52,To titillate and tease is a talent (9),TANTALISE,"To titillate and tease is a talent (9) 
*(is a talent), with “tease” as the anagrind"
53,"Unrestricted approach of swimming yelts, let out earlier (9)",FREESTYLE,"Unrestricted approach of swimming yelts, let out earlier (9) 
FREE *(yelts). I’m not sure on the parsing of this clue. Is “swimming” doing double duty, as part of the definition (unrestricted approach to swimming) and as the anagrind? If so, I don’t like the clue. Yelts, by the way, are young sows – don’t think I’ve ever seen a pig swim?)"
54,Equip a party to capture sick anteater (9),ARMADILLO,"Equip a party to capture sick anteater (9)
 
ARM A D(ILL)O – some species of armadillo feed entirely on ants."
55,Bath for a peacekeeper in Saudi Arabia (5),SAUNA,"Bath for a peacekeeper in Saudi Arabia (5) 
S(A UN)A where SA = Saudi Arabia and UN = United Nations (“peacekeeper”)"
56,Resin found in fuel emission (5),ELEMI,"Resin found in fuel emission (5) 
fu(el emi)ssion. Elemi is an oil resin from a Philippine tree of the same name."
57,Headless dog is a benefit (5),ASSET,"Headless dog is a benefit (5) 
(B)asset"
58,Manner of swimming river in Potteries town (6),STROKE,"Definition: Manner of swimming 
ST(R)OKE"
59,Soldier in overturned wagon? That’s dreadful! (6),TRAGIC,"Definition:  dreadful
GI in <=CART"
60,Said to be planted in the grass (7),REPUTED,"Definition: Said to be
RE(PUT)ED"
61,Staple put through compendia of instruments (7),SPINET,"Definition:  instruments 
S(PIN)ETS"
62,"An abstainer cut with stiletto when driving (2,3,5)",AT THE WHEEL,"Definition: when driving 
A TT(teetotaller)-HEW-HEEL Are stiletto and heel interchangeable? (maybe requires “for example” or some such, but that woudl impact on the surface of the clue)"
63,This setter is certain (4),SOME,"Definition: certain
SO ME!"
64,Keen to get a point for vault (5),CRYPT,"Definition:  vault 
CRY-PT"
65,Tory leader mimics judge in Arras (8),TAPESTRY,"Tory leader mimics judge in Arras (8)
 
T(ory)-APES-TRY"
66,Mark is upset by latest advertising (8),M-AILS-HOT,Definition:  advertising
67,Winger not fully putting on clothes (5),ROBIN,"Definition: putting on clothes 
ROBIN(G)"
68,Lockers in Manx house (4),KEYS,Definition: Lockers
69,Doctor hit general for hiding (10),LEATHERING,"Definition: hiding
*(hit general)"
70,Compassion is touching inventor (7),REMORSE,Definition: Compassion
71,Immigrant proceeds right (7),INCOMER,"Definition: Immigrant
INCOME-R"
72,Spice in stone container rejected (6),NUTMEG,"Definition: Spice
<=GEM-TUN"
73,Matches underwear with a spouse’s initially (6),VESTAS,"Definition: Matches
VEST-A-S(pouse)"
74,Shelter in the road in bad weather (5),SLEET,"Shelter in the road in bad weather (5)
 
S(LEE)T"
75,Approaching with violence (7),ROUGHLY,"Definition: Approaching
Double definition"
76,"Guard to glance over timepiece (4,5)",KEEP WATCH,"Definition: Guard
<=PEEK – WATCH"
77,Offend sick person being laid up (5),REPEL,"Definition: Offend
<=LEPER"
78,Seeing new son’s birth (7),GENESIS,"Definition: birth
*(seeing) S"
79,Boat in a river in Canada (9),CATAMARAN,"Definition: Boat
C(A TAMAR)AN – The River Tamar forms much of the boundary between Cornwall and Devon, although I believe there’s also a Tamar river in Australia."
80,Crumbling path rated one that’s highly unsafe (9),DEATHTRAP,"Definition: one that’s highly unsafe 
*(path rated)"
81,Changeable creature to clean home anew (9),CHAMELEON,"Definition: Changeable creature 
*(clean home)"
82,Maybe settle on a new church (9),PERCHANCE,"Definition: Maybe
PERCH-A-N-C.E."
83,"The French call to spend extravagantly (4,3)",LASH OUT,"Definition: spend extravagantly 
LA-SHOUT"
84,Failure of vessel in battle (4-3),BURN-OUT,"Definition: Failure
B(URN)OUT – Two consecutive clues with OUT – American editors would hate that, but we’re not in America."
85,Left key for material (5),LISLE,"Definition: material
L-ISLE"
86,Manipulates stated prerequisites (5),NEEDS,"Definition: prerequisites
homophone of KNEADS (“manipulates”)"
87,"Keep one’s place – international race in view (3,5)",SIT TIGHT,"Keep one’s place – international race in view (3,5) 
S(I TT)IGHT
 
TT = Time Trial"
88,Burn most of the grain found in school (6),SCORCH,"Burn most of the grain found in school (6) 
COR(n) in SCH. 
 
Why would there be grain in a school?"
89,Mark’s weary on return! Goodness! (5),MERIT,"Mark’s weary on return! Goodness! (5) 
M <=TIRE"
90,"Accessory upset Celia’s orchestra (5,4)",ALICE BAND,"Accessory upset Celia’s orchestra (5,4) 
*(Alice) BAND
 
I don’t like this one, as the anagrind only applies to Alice, not to Alice**‘s**."
91,Yardstick for one in command (5),RULER,"Yardstick for one in command (5) 
Double definition"
92,Falsify and lie leading to dismissal (6),DENIAL,"Falsify and lie leading to dismissal (6) 
*(and lie)"
93,"Hesitated with, say, a journalist (7)",WAVERED,"Hesitated with, say, a journalist (7) 
W-AVER-ED"
94,Writer’s offensive relations (7),PUSHKIN,"Writer’s offensive relations (7) 
PUSH-KIN"
95,Vegetable in pot found in rubbish dump (6),TURNIP,"Vegetable in pot found in rubbish dump (6)
 
T(URN)IP"
96,Plagiarist is model husband? That is fine! (5),THIEF,"Plagiarist is model husband? That is fine! (5) 
(Model) T H i.e. F"
97,Living without Mike? That’s a thought! (9),SENTIMENT,"Living without Mike? That’s a thought! (9)
 
SENTI(M)ENT – Mike being M in the phonetic alphabet."
98,Food left in hacienda demolished (9),ENCHILADA,"Food left in hacienda demolished (9) 
*(hacienda l)"
99,A feudal lord in Belgium (5),LIEGE,"A feudal lord in Belgium (5) 
Double definition, although “in Belgium” isn’t much of a definition?"
100,Old Bob or Edward put right (6),SORTED,"Old Bob or Edward put right (6)
 
S-OR-TED
 
S = shilling = old bob"
101,Embarrassed about a series of poems being used again (8),RECYCLED,"Embarrassed about a series of poems being used again (8) 
RE(CYCLE)D"
102,Missile to track boat (6),SAMPAN,"Missile to track boat (6) 
SAM (Surface to air missile) PAN.
 
Having just returned from a three-week break in China, this one was topical to me!"
103,Unpunctuality of sailors holding banquets (9),TARDINESS,"Unpunctuality of sailors holding banquets (9) 
TAR(DINES)S"
104,"Imprisoned owing to sentence made at the last minute (2,3,4,2,4)",IN THE NICK OF TIME,"Imprisoned owing to sentence made at the last minute (2,3,4,2,4) 
IN THE NICK OF (owing to) TIME"
105,Veteran in the lobby produces bag (7),HOLDALL,"Veteran in the lobby produces bag (7) 
H(OLD)ALL"
106,Cover trials only perhaps in a questionable way (15),CONTROVERSIALLY,"Cover trials only perhaps in a questionable way (15)
 
*(cover trials only)"
107,Railway goes over river in the country (5),RURAL,"Railway goes over river in the country (5)
 
R-URAL"
108,Lots of old invaders keeping Danish leader angry (8),HUNDREDS,"Lots of old invaders keeping Danish leader angry (8) 
HUN(D-RED)S"
109,Dog had to be eaten by pig (6),SHADOW,"Dog had to be eaten by pig (6) 
S(HAD)OW"
110,"Her allies arranged to cause trouble (5,4)",RAISE HELL,"Her allies arranged to cause trouble (5,4)
 
*(her allies)"
111,Notice the French head of state is immaculate (8),SPOTLESS,"Notice the French head of state is immaculate (8) 
SPOT-LES-S(“head of state”)"
112,Point dimwit to the French capital (6),NASSAU,"Point dimwit to the French capital (6) 
N-ASS-AU"
113,Weight carried by horse in match (7),TONNAGE,"Weight carried by horse in match (7) 
TON(NAG)E – I think, if TONE = “match”, although I don’t think it does?"
114,Look after Athenian leaders first – be there! (6),ATTEND,"Look after Athenian leaders first – be there! (6) 
AT (“Athenian leaders”) TEND"
115,Expose oneself to some maudlin curiosity (5),INCUR,"Expose oneself to some maudlin curiosity (5) 
Hidden in “maudlIN CURiosity”"
116,"A tad sad museum’s rearranged to display waxy effigies (6,8)",MADAME TUSSAUDS,"A tad sad museum’s rearranged to display waxy effigies (6,8) 
*(a tad sad museum’s)
 
A slightly clumsy &lit?"
117,Involves sex in space stations ultimately (9),ENGENDERS,"Involves sex in space stations ultimately (9) 
EN-GENDER-(station)S
 
EN is a small block used by printers to create a space (half an EM)"
118,Solid equation (5),CUBIC,"Solid equation (5) 
Double definition"
119,Cut left out of window frame (4),SASH,"Cut left out of window frame (4) 
S(L)ASH"
120,To remove salt entailed a small adjustment (10),DESALINATE,"To remove salt entailed a small adjustment (10) 
*(entailed a s)"
121,Section of good turf in deserted Emirate (7),EPISODE,"Section of good turf in deserted Emirate (7) 
E(PI-SOD)E
 
I don’t recall seeing “deserted” used this way, but I have seen “empty” and something that’s deserted could be empty?"
122,Former tax is just too much (6),EXCESS,"Former tax is just too much (6) 
EX-CESS, with CESS being an old word for a tax or rates
 
I don’t think the “just” was necessary in the clue."
123,Swordsman in the Grand National? (6),FENCER,"Swordsman in the Grand National? (6) 
Play on words – as horses in the Grand National have to negotiate 30 fences"
124,Energy unit – do not feature in air-cooled device (7),CALORIE,"Energy unit – do not feature in air-cooled device (7) 
*(air cooled – do)
 
This doesn’t work for me grammatically – the voice of “do not feature” is wrong. The setter has seen a clever device, but hasn’t been able to make it work properly, in my opinion."
125,Fascination of king in a dry process (10),ATTRACTION,"Fascination of king in a dry process (10) 
A (TT R) ACTION
 
TT = teetotal = dry"
126,"A mistake, whichever way you look at it (4)",BOOB,"A mistake, whichever way you look at it (4) 
Palindrome"
127,Cold dish for South American boy (5),SALAD,"Cold dish for South American boy (5) 
S.A.-LAD"
128,Creole barred from general election conducted without grace (9),INELEGANT,"Creole barred from general election conducted without grace (9) 
*(general election – creole)"
129,"A UK mum with sex rows unfolding like 1, 4 in London (8,6)",WAXWORKS MUSEUM,"A UK mum with sex rows unfolding like 1, 4 in London (8,6) 
*(A UK mum sex rows)"
130,Cheese churning unrest with me (8),MUENSTER,"Cheese churning unrest with me (8) 
*(unrest me)"
131,Biscuit I have shortly after break down (9),DIGESTIVE,"Biscuit I have shortly after break down (9) 
DIGEST – I’VE"
132,Setter accepting article on hair (4),MANE,"Setter accepting article on hair (4) 
M(AN)E
 
The “on” is superfluous"
133,Outshine at college drama (7),UPSTAGE,"Outshine at college drama (7) 
UP-STAGE
 
UP is a (slightly archaic?) way of saying “at college or university or even boarding school”, but unless it’s in a dictionary I don’t have access to here, I’m not comfortable with STAGE = “drama”"
134,Tear down cult cynics in a concise manner (10),SUCCINCTLY,"Tear down cult cynics in a concise manner (10) 
*(cult cynics)"
135,Hesitate to support uninvited guest (5),UMBRA,"Hesitate to support uninvited guest (5) 
UM-BRA
 
It may just be me, but I’m not keen on this – UM indicates hesitation, rather than “hesitate” and BRA is a noun, not a verb. Am I being picky here?"
136,Victim’s audible relief (6),SUCKER,"Victim’s audible relief (6) 
homophone of SUCCOUR"
137,Remove obstruction in river (6),DELETE,"Remove obstruction in river (6) 
DE-LET-E"
138,Critical not to linger after meet (5-3-2),TOUCH AND GO,"Critical not to linger after meet (5-3-2) 
Nice clue"
139,Art rogues knocked off substitute (9),SURROGATE,"Art rogues knocked off substitute (9) 
*(art rogues)"
140,Silver bat I’m holding literally (8),VERBATIM,"Silver bat I’m holding literally (8) 
Hidden (but only just?) in “silVER BAT I’M”"
141,Have second thoughts about the endless writing material (7),RETHINK,"Have second thoughts about the endless writing material (7) 
RE-TH(e)-INK"
142,Military jail’s not so warm (6),COOLER,"Military jail’s not so warm (6) 
Double definition"
143,Hostility sighted in capital (6),WARSAW,"Hostility sighted in capital (6) 
WAR-SAW"
144,Message from Hotel Excelsior (5),TELEX,"Message from Hotel Excelsior (5) 
hidden in “hoTEL EXcelsior”"
145,Beano number substituted with socially acceptable Dandy (4),BEAU,"Beano number substituted with socially acceptable Dandy (4) 
BEA-U
 
U (“socially” acceptable” substituting for NO)
 
My favourite clue – very clever."
146,Make certain of result by capturing castle (6),ENSURE,"Make certain of result by capturing castle (6) 
Not sure how this works – sorry! Is ENSURE a chess term?"
147,"Fielder desperately wants spinner (4,4)",LONG STOP,"Fielder desperately wants spinner (4,4) 
LONGS TOP
 
You need to know your cricket fielding positions to be good at cryptic crosswords!"
148,Guard of honour provides tea for each individual (9),CHAPERONE,"Guard of honour provides tea for each individual (9)
 
CHA-PER-ONE"
149,Small recliner is more smart (5),SLIER,"Small recliner is more smart (5)
 
S LIER"
150,Ring bank back (4),LOOP,"Ring bank back (4)
 
POOL=>"
151,"Left crew cuddling redhead? Exactly! (5,5)",QUITE RIGHT,"Left crew cuddling redhead? Exactly! (5,5) 
QUIT E(R)IGHT"
152,Entertainer has support crumble (7),PIERROT,"Entertainer has support crumble (7) 
PIER ROT"
153,Boat’s propeller is better (6),PUNTER,"Boat’s propeller is better (6) 
Double definition – one propelling a punt and one putting on a bet"
154,Parishioner put down fiancé (6),LAYMAN,"Parishioner put down fiancé (6) 
LAY MAN"
155,Militia protecting our weapons store (7),ARMOURY,"Militia protecting our weapons store (7) 
ARM(OUR)Y"
156,A rector in delirium is unhealthy (10),INSANITARY,"A rector in delirium is unhealthy (10) 
INSANIT (A R) Y"
157,Pass on purpose (4),,"Pass on purpose (4)
 
Don’t know – is it KILL (make someone pass on purpose?) or WILL (something to do with PURPOSE)?"
158,God has a name that has a point (5),THORN,"God has a name that has a point (5) 
THOR-N"
159,Caught in increasing dependence (9),ADDICTION,"Caught in increasing dependence (9)
 
ADDI(C)TION"
160,Penny steered badly when driven round the bend (8),PESTERED,"Penny steered badly when driven round the bend (8)
 
P *(steered)"
161,More enthusiastic mourner (6),KEENER,"More enthusiastic mourner (6) 
Double definition"
162,Look in skip for meat (8),ESCALOPE,"Look in skip for meat (8) 
ESCA(LO)PE"
163,"Flattery works in drama (4,5)",SOAP OPERA,"Flattery works in drama (4,5) 
SOAP = “flattery OPERA (plural of OPUS)"
164,German gets away from Mediterranean smell (4),REEK,"German gets away from Mediterranean smell (4) 
G removed from GREEK"
165,Poteen’s brewed for the dance (3-4),ONE-STEP,"Poteen’s brewed for the dance (3-4) 
*(poteen’s)"
166,Good science provides good food (10),GASTRONOMY,"Good science provides good food (10) 
G-ASTRONOMY"
167,Poor girl’s obsession (5),THING,"Poor girl’s obsession (5) 
THIN – G
 
G for GIRL; trying to think if I’ve ever seen that?"
168,Rodent tucked into food for Rover (6),PIRATE,"Rodent tucked into food for Rover (6) 
PI(RATE)E"
169,Vehicle in process of decay? Tough! (6),ROBUST,"Vehicle in process of decay? Tough! (6) 
RO(BUS)T"
170,Fame for coppers capturing errant minor (10),PROMINENCE,"Fame for coppers capturing errant minor (10) 
P (*minor) ENCE"
171,Publication about sport shows scholarship (9),ERUDITION,"Publication about sport shows scholarship (9) 
E(RU)DITION, where RU = Rugby Union"
172,Examine vessel for cosmetic (8),EYELINER,"Examine vessel for cosmetic (8) 
EYE-LINER"
173,Fool can’t use production (7),NUTCASE,"Fool can’t use production (7) 
*(cant use)"
174,Wear down a nail with emery initially (6),ABRADE,"Wear down a nail with emery initially (6) 
A BRAD E(mery)"
175,Class overturn child’s toy (6),TIPTOP,"Class overturn child’s toy (6) 
TIP TOP"
176,Society has a lot of problems (5),SPOTS,"Society has a lot of problems (5)
 
S POTS"
177,High point is when one embraces maiden (4),ACME,"High point is when one embraces maiden (4) 
AC(M)E"
178,"Will and son taking flat, occupying temporary accommodation (9)",TESTAMENT,"Will and son taking flat, occupying temporary accommodation (9) 
TE(S-TAME)NT"
179,French art in a work from storyteller (5),AESOP,"French art in a work from storyteller (5) 
A(ES)OP
 
“es” as in French “tu es” = “thou art”"
180,A bit holy? Last thing with the Established Church! (5),PIECE,"A bit holy? Last thing with the Established Church! (5) 
PI-(th)E-CE
 
E = “last thing with the” (ie last letter of “the”) and CE = Church of England"
181,Extravagant display by a grim,POMPADOUR,"Extravagant display by a grim 
POMP-A-DOUR"
182,th-century madame (9),,th-century madame (9)
183,Charming belle acted naughtily (10),DELECTABLE,"Charming belle acted naughtily (10) 
*(belle acted)"
184,Pusillanimous folk – not initially troublemakers (4),IMPS,"Pusillanimous folk – not initially troublemakers (4) 
(w)IMPS"
185,"Great sportsman in Brazil, promoter of products (7)",BRADMAN,"Great sportsman in Brazil, promoter of products (7) 
BR-ADMAN
 
Don Bradman, the legendary Australian cricketer, who provided Mr Manley with one of is alter egos."
186,Number in uniform in place of debauchery (7),SEVENTY,"Number in uniform in place of debauchery (7) 
S(EVEN)TY"
187,More than one creature becomes weak outside beastly home (7),RODENTS,"More than one creature becomes weak outside beastly home (7) 
RO(DEN)TS"
188,"Oaf, in essence, somewhat lacking in tact (7)",FINESSE,"Oaf, in essence, somewhat lacking in tact (7) 
Hidden in “oaF IN ESSEnce”, indicated by “somewhat lacking”."
189,Guy in loose dress Society turned away (4),MOCK,"Guy in loose dress Society turned away (4) 
(s)MOCK
 
An uncommon meaning og “to guy” is to “to make fun of”"
190,Such as could be turning “terra” into lake? (10),TORRENTIAL,"Such as could be turning “terra” into lake? (10) 
*(terra into L)
 
An &lit"
191,Red meat to go off on account of worm (9),TREMATODE,"Red meat to go off on account of worm (9)
 
*(red meat to)
 
Personally, I think the “on account of” is superfluous."
192,Nymph offering love divine? (5),OREAD,"Nymph offering love divine? (5) 
O-READ
 
O = nothing = “love” and READ =”divine” as “to read omens”"
193,City’s final wish being broadcast (5),RIPON,"City’s final wish being broadcast (5) 
R.I.P.-ON"
194,Army in break penetrating enemy – sign of things to come (9),FORETASTE,"Army in break penetrating enemy – sign of things to come (9) 
FO(RE(TA)ST)E"
195,"Bound to record illegally, journalist? (5)",TAPED,"Bound to record illegally, journalist? (5) 
TAP-ED"
196,Weighing-machine registering stones and pounds kept by special dealer (9),STEELYARD,"Weighing-machine registering stones and pounds kept by special dealer (9) 
ST – *(dealer) keeping Y
 
Why does Y equal “POUNDS”?"
197,A male ruler to fix fine historically (10),AMERCEMENT,"A male ruler to fix fine historically (10) 
A-M-ER-CEMENT
 
An old word for a monetary penalty (“FINE”)"
198,Account for level land once being higher (7),EXPLAIN,"Account for level land once being higher (7) 
EX-PLAIN
 
The setter appears to be proposing that land which was once high would have been a plain (I don’t agree with that assumption, though)"
199,Places of worship established by two occupants of Lambeth Palace (7),TEMPLES,"Places of worship established by two occupants of Lambeth Palace (7) 
Don’t know why, though?"
200,"Not here always, a couple of characters out of sight (4)",AWAY,"Not here always, a couple of characters out of sight (4) 
A(L)WAY(S)
 
The couple of characters out of sight are ther L and the S – lazy cluing, in my opinion."
201,Outburst from Sergeant Major full of upsetting rubbish (5),STORM,"Outburst from Sergeant Major full of upsetting rubbish (5) 
S(<=ROT)M"
202,Fairy with elegance in architectural feature (9),PERISTYLE,"Fairy with elegance in architectural feature (9) 
PERI-STYLE
 
A Peri is a fairy in Persian mythology, and a persityle is a rank of columns surrounding a building"
203,"Maybe a night on the tiles is becoming normal (7,3)",EVENING OUT,"Maybe a night on the tiles is becoming normal (7,3) 
Double definition"
204,In pub see the (not hard to spot) weather guide (9),BAROMETER,"In pub see the (not hard to spot) weather guide (9) 
Help – I can’t parse this one!"
205,Name wine that goes to the head – not a pleasant quality (9),NASTINESS,"Name wine that goes to the head – not a pleasant quality (9) 
N-ASTI-NESS"
206,Reason why theatregoers can’t go and swank (4-3),SHOW OFF,"Reason why theatregoers can’t go and swank (4-3) 
Double definition"
207,Desist from supporting one type of share-seller (7),FORBEAR,"Desist from supporting one type of share-seller (7) 
FOR-BEAR
 
A bear is a pessimistic shares dealer, as opposed to the optimistic bull"
208,Cry comes from cold Dickensian character (5),CHEEP,"Cry comes from cold Dickensian character (5) 
C-HEEP
 
Uriah Heep, the ever so ‘umble character from “David Copperfield”"
209,Projection given by account book not right (5),LEDGE,"Projection given by account book not right (5) 
LEDGE(r)
 
A ledge projects, so is a “PROJECTION”"
210,"Be gushy, as one with enthusiasm hugging wife (4)",FAWN,"Be gushy, as one with enthusiasm hugging wife (4) 
FA(W)N"
211,"Commit to pen when mail crashed (4,4)",SEND DOWN,"Commit to pen when mail crashed (4,4) 
I can see where the setter is coming from here, but it’s a wee bit of a stretch."
212,Unruffled about going in tartan (6),PLACID,"Unruffled about going in tartan (6) 
PLA(C)ID"
213,Showed off and took flight with relative on board (8),FLAUNTED,"Showed off and took flight with relative on board (8) 
FL(AUNT)ED"
214,Brew which is fashionable? Fine with milk (6),INFUSE,"Brew which is fashionable? Fine with milk (6) 
IN-F-USE
 
Don’t think I’ve seen MILK = USE before, but Chambers has “manipulate” as a synonym, so should be OK."
