,Clue,Answer,Explanation
24,"Rooms for naval officers and Yorkshiremen, say, beaten in battle? (3,4)",WAR DRUM,"sound like ‘ward room’, a room for naval officers – definition is ‘beaten in battle’. Why it is not plural and what it has to do with Yorkshiremen I don’t know. A ‘ward’ is a northern and Scottish dialect word for a division of a county, which hints vaguely that it could be a ‘room for Yorkshiremen’, but this seems very vague and adds nothing to the clear naval reference. *There are two subsidiary homophone clues here: “a room for officers” and “a room for Yorkshiremen”. In the written clue they are combined into “rooms”, the (alleged) Yorkshire pronunciation applying to both. Considering this is Cinephile, we have a plausible explanation to a convoluted clue. Alternatively, the ‘s’ could just be a misprint. Thanks to all the contributors for suggestions.*"
25,Fairies raised by tree surgeon? (6),YAFFLE,"ELF and FAY (two fairies) reversed (raised) – the yaffle is the green woodpecker, nature’s tree surgeon"
26,Disgraced artist’s tree (5),CEDAR,found inside disgraCED ARTist’s
27,Part of cycle unwelcome to house seeker (5),CHAIN,double definition – bicycles and house purchases
28,Encouraged with P45? (5),FIRED,double definition
29,"Ned, joining pals assembling inside, looks for stairs in east London (6,3,5)",APPLES AND PEARS,(NED PALS)* assembling=anagram in APPEARS (looks) – Cockney rhyming slang
30,Had particular boundaries in England (5),OWNED,OWN (particular) EnglanD (bounding letters of) – definition is ‘had’
31,"Second-in-command, no good against Spain, shows stress (9)",UNDERLINE,"UNDERLINg (second-in-command) missing g=good and E (Espagne, Spain)"
32,American allowed to wear the jumper? (7),ATHLETE,A (American) and LET (allowed) inside (wearing) THE – a high jumper possibly
33,"Completely remove bounder seen by all in shot (4,3)",ROOT OUT,"ROO (kangeroo, bounder) and U (seen by all, cinema rating) in TOT (shot, of drink)"
34,“Poorly” mainly coming across to patient (5),STOIC,TO inside SICk (poorly) mainly=most of
35,Single figure picks up crate to distribute fruit (9),NECTARINE,NINE (single figure) holds (picks up) CRATE* (anagram=to distribute)
36,Antipodeans around here heard parrot flapping in sea (9),POLYNESIA,"POLY (sounds like “polly”, parrot) and (IN SEA)* flapping=anagram – a region of the Antipodes"
37,Free invite excludes frst year (5),EMPTY,tEMPT (invite) missing first letter then Y (year)
38,Meadow and wood keep end of village more rural (7),LEAFIER,LEA (meadow) and E (last letter of village) in FIR (wood)
39,Some claret almost knocked over sideways (7),LATERAL,some of cLARET ALmost reversed (knocked over)
40,"Mother, prepared when travelling, cut out page for navigator (3-6)",MAP READER,MA (mother) then pREPARED* (anagram=travelling) missing p=page
41,Greek character carries home animal (5),RHINO,IN (home) in RHO (Greek character)
42,"Fixed work, in building line, means capital no longer used (14)",CONSTANTINOPLE,CONSTANT (fixed) then OP (work) in LINE* (building=anagram) – former caprital of Turkey
43,"Judy’s partner at front of ship, left vessel (5,4)",PUNCH BOWL,PUNCH (Judy’s partner) at (next to) BOW (front of ship) L (left)
44,"Say party line, upsetting group of masons (5)",LODGE,EG (say) DO (party) L (line) reversed (upsetting)
45,One leaves sandwiches to grab auntie regularly distributing wine (9),SAUTERNES,"aUnTiE (regulaly, every other letter) in (grabbed by) SARNiES (sandwiches) missing I (one, Roman numeral) – definition is wine. Apart from helping the surface reading I can’t see how ‘distributing’ fits in the clue at all."
46,Bottom drain repaired (5),NADIR,DRAIN* repaired=anagram
47,Strain spread around royal column (9),PERCOLATE,PATE (spread) around ER (royal) COL (column) – definition is ‘strain’. *Thanks to AID.*
48,China’s major highway blocked earlier (5),AMIGO,"MI (M1, major highway) in AGO (earlier) – defintion is ‘china’ (china plate) rhyming slang for ‘mate’, friend. I don’t like M1 = MI. I know it is very common in crosswords but it does not work for me. I=1 as a Roman numeral is fine, and in the context of abbreviations where Roman numerals are commonly used (eg IV for ‘fourth’) then this is OK too, but I have never seen UK road numbers written in Roman numerals."
49,"Staff threat, as numbers two and four are exchanged (7)",SCEPTRE,SPECTRE (threat) with second and fourth letters exchanged
50,"Horses attract the eye of bookmaker, making new book (6)",ROMANS,bookMaker (eye of = middle of) in ROANS (horses) – Romans is a book of the New Testament. *Thanks to flashling.*
51,Ketchup perhaps appearing thick inside American bread (9),CONDIMENT,"ON (appearing) DIM (thick) in CENT (US money, bread)"
52,"Domestic garland coated gold, boosting Belgian place (9)",CHARLEROI,"CHAR (domestic) and LEI (garland) going round (coating) OR (gold) reversed (boosting, being sent up) – a place in Belgium"
53,One quietly gatecrashes military fair (9),IMPARTIAL,I (one) and then P (quietly) in MARTIAL (military) – definition is ‘fair’
54,Controversial photo captures expression of victory by metres (7),POLEMIC,PIC (photo) contains (captures) OLE (expression of victory) with (by) M (metres)
55,"Snooker ball forming line, see, in wooden frame (6)",YELLOW,"L (line) LO (see) in (framed by) YEW (made of yew, wooden)"
56,"Tree ring follows annual succession, primarily (5)",ASPEN,PEN (ring) following Annual Ssucession (first letters of)
57,Bar popular French artist manually (5),RODIN,"ROD (bar) IN (popular) – Auguste Rodin was a French sculptor (an artist who works with his hands, manually)"
58,Body fat’s latest reading – approximately (5),TORSO,faT (latest reading=last letter of) OR SO (approximately)
59,It’s brought back to eat with a fish (9),BARRACUDA,BARRA (Scottish Island) and CUD (something brought back to eat) with A
60,Soil quietly removed from worm’s head (4),MUCK,"SHMUCK (worm, unpleasant person) with SH (quietly) removed from the front (head). For no good reason I decided early on that this was going to be SKYE and then spent an unreasoanble amount of time failing to find an explanation."
61,Fried food is wasteful (8),FRITTERS,double definition – as noun and verb
62,Tawny owl scratching tail (6),YELLOW,YELL (Scottish Isle) and OWl (missing the tail)
63,In the manner of a loud disturbance (6),ALARUM,A LA (in the manner of) and RUM (Scottish Island)
64,Survived Communist state intervention (8),REMAINED,MAINE (state) in RED (communist)
65,Gas is not entirely fresh (6),BUTENE,BUTE (Scottish Island) and NEw (fresh) not finished
66,Kiss Japanese people returning small flowers (8),PETUNIAS,PET (kiss) then AINU (Japanese people) reversed and S (small)
67,Irregular code is broken with constant input (8),EPISODIC,"(CODE IS)* broken=anagram containing PI (a constant, maths) – definition is ‘irregular’"
68,Talk excitedly with civil war fighter on horseback (6),YABBER,"REB (rebel, civil war fighter) on BAY (horse) reversed (back)"
69,Final eliminator involved 10 being knocked out (8),TERMINAL,"ELIMINATOR* (involved=anagram) missing IO (10, ten)"
70,He directs agents to lose (6),MISLAY,M (code name for spymaster) and ISLAY (Scottish Island)
71,"Nervous individual doesn’t give everyone introductions (2,4)",ON EDGE,ONE (individual) Doesn’t Give Everyone (first letters of)
72,"Agreed to drop odds, when they’re lined up (8)",ARRANGED,ARRAN (Scottish Island) and aGrEeD (odd letters dropped)
73,Midday hail at sea (4),AHOY,dAy (middle of) and HOY (Scottish Island)
74,Take turns to restrict entrance (9),SPELLBIND,"SPELL (to take turns at, of a job of work) and BIND (restrict)"
75,Bass instrument over a stone (5),BERYL,B (bass) LYRE (instrument) reversed (over)
76,Extremely rare — a lady of leisure (7),RETIREE,RarE (extremes of) and TIREE (Scottish Island)
77,Elite soldiers each punched through a hole in the wall (1-4),A-TEAM,EA (each) in (punched through) ATM (hole in the wall cash machine)
78,Loosen tie and cuff (7),UNSTRAP,UNST (Scottish Island) and RAP (cuff)
79,Inequality? Bars for women display this (9),ASYMMETRY,definition and cryptic definition – the Asymmetric Bars is a gymnastic even for women only
80,One working in bar with glass on either side (7),MULLION,MULL (Scottish Island) with I (one) ON (working) – a glazing bar in a window
81,"Entertainment in bed — stroke bottom, then pull together (2-7)",COOPERATE,OPERA (entertainment) in COT (bed) then strokE (bottom of)
82,The last of many put the men in a spin (9),UMPTEENTH,(PUT THE MEN)* anagram=in a spin
83,Threatens to throw grenades around noon (9),ENDANGERS,GRENADES* (anagram=to throw) around N (noon)
84,African boxer to leave later on (7),SOMEDAY,SOMali (African) missing boxer then EDAY (Scottish Island)
85,Gather and put away (7),COLLATE,COLL (Scottish Island) and ATE (put away)
86,Dog’s foot a state — iodine applied (7),BASENJI,"BASE (foot) NJ (New Jersey, a state) with I (iodine) applied – a type of hunting dog"
87,Half-heartedly bite a fungus (5),MOREL,MORsEL (a bite) missing half of its middle (heart) – a mushroom
88,Student leaving dock collars me for change (5),AMEND,ME in (collared by) LAND (dock) missing L=student
89,Free love over in London college (5),LOOSE,"O (zero, love) O (over) in LSE (London college)"
90,Victor runs away from unusually revolting freckles (7),LENTIGO,rEvOLTING* (anagram=unusually) missing V (victor) and R (runs)
91,Letters missing in this post offce mail delivered around Greece (8),LIPOGRAM,anagram (delivered) of PO (post office) and MAIL around GR (Greece) – a poem where all words containing a certain letter are omitted
92,Green Man pub sheltering graduate cleaned out by university (6),INGENU,INN (pub) containing (sheltereing) GraduatE (cleaned out=nothing inside) by U (university)
93,Available after swapping partner that’s impotent (6),UNABLE,UsABLE (available) with S replaced N (bridge partners)
94,Starts to console injured suitor after single maiden’s gaffe (8),SOLECISM,Console Injured Suitor (starting letters of) following SOLE (single) then M (maiden)
95,"Bighead, finally undone, is caught out (6)",EGOIST,undonE (final letter) and IS all has GOT (caught) on the outside
96,Rule about addict that once made a dash? (6),WALNUT,LAW (rule) reversed (about) NUT (addict) – traditionally used to made dashboards for cars
97,"With this hammered, you’d secure water-line (8)",TREENAIL,"literally a nail used to fix the planking to the frame of a ship, hence securing the waterline – ~~I can’t see much of a cryptic definition here, can anyone spot something I have missed? (this is not Dante here!)~~ *An anagram (hammered) of W (with) TREENAIL (this) will give (secure you) WATER-LINE. Thanks to Thomas99.*"
98,Capital of Ethiopia having no house refurbished (6),TAIPEI,EThIoPIA* (refurbished = anagram) missing HO (house) – capital of Taiwan
99,"King, one occupying podium with hands on hips? (6)",AKIMBO,"K (king) I (one) in AMBO (podium, early Christian pulpit)"
100,Shadow cast by cape on front of decorative chest (8),DARKNESS,"NESS (cape, headland) on Decorative (front letter of) ARK (chest)"
101,Unexpected conflict dividing unknown number in middle- eastern states (7),UNAWARE,"WAR (conflict) inside (dividing) UAE (middle-eastern states) containing N (unknown number) – definition is ‘unexpected’. I can’t yet come up with an example where the tenses for the definition and the solution match, but I expect that is just my lack of imagination."
102,Bang up following nonsense after one’s dismissal (5),SHTUP,"UP following SHiT (nonesense) with I (one) removed – a ‘bang’ is sexual intercouse, from Jewish"
103,Union leader ousted in delay (8),ALLIANCE,dALLIANCE (delay) witht he leader removed
104,"Risk everything to attack man that’s changed sides (2,3,5)",GO FOR BROKE,GO FOR (to attack) BLOKE (man) with L (left) replaced by R (right)
105,She succeeded to hold line without any issue (8),HEIRLESS,L (line) in HEIRESS (she succeeded)
106,"Mark needing book on language, skipping the introduction (7)",BLEMISH,B (book) on fLEMISH (language) missing the first letter
107,Essentially hallucinated about work involving curvaceous characters? (6),UNCIAL,"anagram of halLUCINAted (sessentials=inner parts) about=anagram, moving about – a form of script using rounded letters"
108,Call sign of union? (4),RING,double definition – ‘call’ and ‘sign of union’
109,My unknown dog’s not hard (6),ZOUNDS,"Z (unknown, maths) hOUND’S (dog’s) missing H=hard – definition is ‘my’, an exclamation"
110,"Supreme commander, mostly instinctive, presiding over one US city (10)",CINCINNATI,"C-IN-C (commander-in-chief) INNATe (instinctive, mostly) in front of (presiding over) I (one)"
111,"If emptied sample went missing, this star would be at risk (8)",ASTERISK,if SamplE (emptied=nothing inside) is removed from AsTeRISK (this star) we get ‘at risk’
112,Believer in divine wisdom hopes to convert hearts (8),THEOSOPH,(HOPES TO) convert=anagram and H (hearts)
113,Black snake’s left inside bag (7),BLADDER,B (black) ADDER (snake) containing L (left)
114,"Bring to light amoral chap’s past (4,2)",RAKE UP,"RAKE (amoral chap) has UP (past, over)"
115,"Lord to some, a noble European’s excellent (6)",ADONAI,"A DON (European noble) AI (A1, excellent) – a Hebrew name for god, the Lord"
116,HRH regularly snubbed Michael Barrymore (4),MAAM,"MichAel bArriMore (regularly snubbed=pieces removed in a regular pattern, pick one drop three…)"
117,Mark’s scheme to infltrate school (7),SPLOTCH,PLOT (scheme) in SCH (school)
118,Ungentlemanly prayer for the dead recited (7),CADDISH,"sounds like (recited) “kaddish”, Jewish prayers for the dead"
119,Fiend producing half of weekend article (5),SATAN,"SAT (Saturday, half the weekend) AN (indefinite article)"
120,Gemini (perhaps) carrying Taurus’s head to Scorpio’s (for sure) (9),DOUBTLESS,"DOUBLES (twins, Gemini perhaps) carrying T (head of Taurus) then S (head of Scorpio) – definition is ‘for sure’"
121,Joyous beaux rent asunder (9),EXUBERANT,(BEAUX RENT)* asunder=anagram
122,Guru adopted by Paris Hilton? (5),RISHI,part of (adopted by) paRIS HIlton – Indian mystic
123,Gripping device for getting Newton clothed? (5),TONGS,N (newton) in TOGS (clothes)
124,Over-large herb is malformed? Nonsense! (9),GIBBERISH,BIG (large) reversed (over) and (HERB IS)* malformed=anagram
125,Sauce packed with energy fnding a way to fnal destination (9),GRAVEYARD,"GRAVY (sauce) packed with E (enrgy) the A RD (road, a way) – the final resting place. A very nice clue!"
126,Subject to supreme one hundred (5),TOPIC,TOP (supreme) I (one) C (hundred) Roman numerals
127,Kidney’s true name concealed? (5),RENAL,"N (name) concealed in REAL (true) – definition is kidney’s, of the kidney"
128,A place for experimenting with plant and mineral (9),ALABASTER,A LAB (place for experimenting) with ASTER (plant)
129,Play with cutie cultivating trees (9),EUCALYPTI,(PLAY CUTIE)* anagram=cultivating
130,Promiscuous Pole in Cornish resort (5),LOOSE,"S (south, pole) in LOOE (Cornish resort)"
131,Pedal let out outside study (7),TREADLE,LET* (anagram=out) outside READ (study)
132,Oriental setter’s catching fsh in diplomatic premises (7),EMBASSY,"BASS (fish) caught by E (eastern, oriental) MY (setter’s)"
133,Dubious cult holding distinctive appeal (7),SUSPECT,"SECT (cult) holding USP (unique selling point, distinctive appeal)"
134,Land to which Nahuatl 11 moved (9),LITHUANIA,"anagram (moved) of NAHUATL and I I (1, Roman numeral, twice)"
135,Maybe past being uptight (5),TENSE,double definition
136,"Flower found in garden, haymaking? (9)",HYDRANGEA,(GARDEN HAY)* anagram=making
137,"Tell Dracula, say (5)",COUNT,double definition
138,Nuclear weapons allegedly go astray during curtailed cessation of hostilities (9),DETERRENT,ERR (go astray) during DETENT (cessation of hostilities)
139,Bowel problem that’s keeping trainee in America (5),ILEUS,"IE (that is) keeping L (learner, trainee) then US (in America) – blockage of the bowel"
140,Man’s in mess with drug (7),HASHISH,HIS (man’s) in HASH (mess)
141,Armoured horse receiving garbled call (5-4),STEEL CLAD,CALL* (garbled=anagram) in STEED (horse)
142,Old lunatic’s snack involves cheese getting left inside (9),BEDLAMITE,"BITE (snack) contains (involves, gets mixed up with) EDAM (cheese) with L (left) inside"
143,Headstrong compiler’s sweethearts cradling heads of ugly old uncles (9),IMPETUOUS,I’M (compiler’s = the compiler is) and PETS (sweethearts) containing heads of Ugly Old Uncles
144,"Decent sort of chap holding member’s coat, for instance (7)",GARMENT,GENT (decent chap) holding ARM (member)
145,Type of light vehicle on top of food outlet (7),CARVERY,VERY (type of light) with CAR (vehicle) on the top
146,"Hospital in pleasant, suitable location (5)",NICHE,H (hospital) in NICE (pleasant)
147,Topless taster is quite enough (5),AMPLE,sAMPLE (taster) topless
148,"Improvise a German tabloid’s come-uppance? (2,3)",AD LIB,A BILD (German tabloid) reversed (come-uppance)
149,Bradford car firm which produced the Javelin and developed Jet2 (6),JOWETT,"(JET TWO)* anagram=developed – The Jowett Javelin. Jet2 is a UK budget airline based at Leeds-Bradford airport. Funnily enough I travelled to Bradford only yesterday to pick up another car, sadly not a Jowett though."
150,Welshman with bowler from Russia at oldest Japanese car firm (8),DAIHATSU,"DAI (Welshman) with HAT (bowler) SU (Soviet Union, Russia) – the Daihatsu Motor Company"
151,"Having lost odds, navvy is entitled to glider (7)",AVIETTE,nAvVy Is EnTiTlEd with the odd numbered letters removed
152,BL model’s speed (7),ALLEGRO,"double definition – the Austin Allegro from British Leyland – innovation ahead of its time, or just plain wrong? You decide."
153,Work with the Spanish car firm (4),OPEL,"OP (opus, work) EL (the, in Spanish) – a very old German automobile firm, now part of General Motors"
154,Dam leading offcer left and caught rough boat to cushioned transport (10),HOVERCRAFT,"HOoVER (dam) with O (leading letter of officer) removed, C (caught) and RAFT (rough boat)"
155,"Bass, say, at Coventry car firm (6)",SINGER,"double definition – Singer Motors Limited, originally a bicycle manufacturer"
156,Hairdresser under sail (7),CLIPPER,double definition
157,"Transport Ian Botham, initially into take-away (7)",MINIBUS,IB (Ian Botham’s initials) in MINUS (take away)
158,Say! Ringo has a bug (6),BEETLE,"Ringo Starr is a Beatle (sounds like “beetle”, say) – the Volkswagen Beetle"
159,Henry Langridge lashed out at large kite (4-6),HANG GLIDER,H (henry) LANGRIDGE (lashed out = anagram) – I’m not wholly at “lashed out” as an anagram indicator here
160,Leading transport running round Moscow (4),TRAM,Transport Running Around Moscow (leading letters of) – I think this clue has a misprint in the online version
161,Roofless Stanhope rebuilt as this? (7),PHAETON,"sTANHOPE* anagram=rebuilt – a style of car body, also various car models from Buick, Mercury and Volkswagon"
162,Liner – 1 it can’t crash (7),TITANIC,"anagram (crash) of I (one, Roman numeral) IT CAN’T"
163,Obstacle to progress that’s almost serious for Santa Pod racer (8),DRAGSTER,"DRAG (obstacle to progress) STERn (serious, almost) – Santa Pod in Northamptonshire was Europe’s first drag racing circuit. Named after Santa Anna, a track in California, and Poddington the local village."
164,Points out very different 1950s Vauxhall model (6),WYVERN,VERY* (different=anagram) with NS (points of the compass) outside – the Vauxhall Wyvern
165,Envy shown by nameless girl feeling bad (8),JEALOUSY,JEAn (girl) missing N (name) LOUSY (feeling bad)
166,"Standard variation of nine weights (5,6)",WHITE ENSIGN,(NINE WEIGHTS)* variation=anagram – a British naval flag (standard)
167,Archbishop’s dress (4),TUTU,double definition
168,Girl’s graceful horse turned up at heart of valley (8),ARABELLA,ARAB (graceful horse) and vALLEy (heart of) reversed (turned up)
169,The police broke rule for a Chinook (10),HELICOPTER,"(THE POLICE)* anagram=broke R (rule, law) – a military helicopter"
170,Stagecoach’s label (3),TAG,sTAGecoach
171,They’re fitted to a sub! (1-5),U-BOATS,"U-boats are subs, the definition is &lit since the letters of ‘u-boats’ can be fitted into ‘to a sub’"
172,French bike on cross for 31’s 1950s partner (5),VELOX,VELO (French bike) on X (cross) – the Vauxhall Velox based on the same body shell as the Wyvern (31 across)
173,"Amateur getting info for 28 that’s poisonous (5,6)",AGENT ORANGE,"A (amateur) getting GEN (info) TO (for) RANGE (cooker, an Aga for instance)"
174,Illness of US soldier having to sit out under gate in Ypres (10),MENINGITIS,GI (US soldier) having SIT* (anagram=out) under the MENIN gate war memorial in Ypres
175,They hear German car in French church (8),AUDIENCE,"AUDI (German car) EN (in, French) CE (church, of England) – definition is ‘they hear’"
176,Emergency rations bringing out the camp in me (8),PEMMICAN,"(CAMP IN ME)* anagram=out, bringing=you will get from this… – dried meat used as emergency rations"
177,Formed from diamonds under loose heaps (6),SHAPED,"D (diamonds, cards) following HEAPS* (anagram=loose)"
178,Pier for plane on outskirts of Tobermory (5),JETTY,JET (plane) on TobermorY (outskirts of)
179,Support will last (4),STAY,double definition
180,Chief offcer from Alvis gains approval at first (3),AGA,Alvis Gains Approval (first letters of) – an important ottoman military officer or official
181,Set aside for being hopelessly ecstasy-addicted (9),DEDICATED,anagram (hopelessly) of E (ecstacy) and ADDICTED
182,"Dominant sort of chap attaining high altitude, initially, on mountain (5)",ALPHA,High Altitude (initial letters of) on ALP mountain – an alpha male
183,"Turned green, receiving a message (5)",EMAIL,LIME (green) reversed containing (receiving) A
184,"Simple question aristocrat put to top 23, reportedly (2-7)",NO-BRAINER,"NOB (aristocrat) and RAINER sounds like (reportedly) reigner, the one who reigns, the top royal – toyed with Prince Rainier of Monaco for a while but I think reigner is better"
185,A rat coming out on an unequal social footing (10),MORGANATIC,(A RAT COMING)* – a new word for me
186,Intend to get tight (4),MEAN,double definition
187,Carry on with fabulous bird in receding ocean (7),PROCEED,"ROC (fabled bird) in DEEP (ocean) reversed (receding, going backwards)"
188,Get into trouble with sibling in heartless 9 (7),EMBROIL,"BRO (sibling) in EMaIL (heartless, missing centre)"
189,Backward spooks damage a tongue (7),ARAMAIC,CIA (spooks) MAR (damage) A all reversed (backward)
190,Way of learning to crack code for dietary essential (7),PROTEIN,ROTE in (cracking open) PIN (code)
191,Well able to dump odd characters in river (4),ELBE,wElL aBlE (odd charracters missing)
192,Versatile player getting chubbier everywhere? (3-7),ALL ROUNDER,double/cryptic definition
193,"Recipient of 9 from dead seers, weirdly (9)",ADDRESSEE,(DEAD SEERS)* anagram=weirdly
194,Land one left in flower (5),ITALY,"I (one, Roman numeral) then L (left) in the river TAY (something that flows)"
195,What happened in the seventies? (5),EVENT,found inside the sEVENTies
196,An aquatic bird absorbing backbeat before birth (9),ANTENATAL,AN then TEAL (aquatic bird) containing (absorbing) TAN (beat) reversed (back)
197,Vision of 500 sheets (5),DREAM,"D (500, Roman numeral) REAM (sheet paper measure)"
198,Medical problem said to make a bird change colour (9),DIARRHOEA,"sounds like “dye a rhea”, make bird change colour"
199,Security subsequently left over amid black stuff (10),COLLATERAL,LATER with L (left) on top (over) in COAL (black stuff)
200,Vessel finding capital curtailed within borders of Thailand (7),TANKARD,"ANKARa (capital, not finished) in ThailanD (borders=outsides of)"
201,Express contempt about bedhead being clean (7),DEBRIDE,B (head of bed) in DERIDE (express contempt) – to clean a wound
202,A passage out (4),AWAY,A WAY (passage) – definition is ‘out’
203,Almost wrote “Noodles” (5),PENNE,"PENNEd (wrote, almost) – penne pasta"
204,A racket involving kidneys’ secretion (9),ADRENALIN,"A DIN (racket) containing (involving) RENAL (kidney’s, of the kidney)"
205,So into cleaning and clearing! (10),ABSOLUTION,SO in ABLUTION (cleaning)
206,"Toponym constituting source of “Love and peace, man” (5,4)",PLACE NAME,"anagram of L (source,first letter of love) and PEACE MAN"
207,Unduly foolish to cover banker’s last debt (9),OVERDRAFT,OVER (unduly) DAFT (foolish) containing (covering) R (last letter of of banker)
208,Instrument for brewing ales etc (7),CELESTA,(ALES ETC)* anagram=brewing – a keyboard operated xylophone or glockenspeil
209,Sign left carrying 10 (7),PORTENT,PORT (left side) containing (carrying) TEN
210,Show 19 involving good or bad workmanship (5),BODGE,BODE (show portent) including G (good)
211,Go to bed with common soldiers; get up with VIP (5),ROYAL,"LAY (go to bed with) OR (other ranks, common soldiers) all reversed (got up)"
212,Hide pepper (4),PELT,double definition – skin and throw at
213,Throbs wildly holding club’s top dish (7),BORSCHT,C (top of club) in THROBS* anagram=wildly
214,Investigator heard when choir are content (8),ENQUIRER,"sound like “in choir are” meaning that ‘the choir are the content of something’ – might also be ‘enquirer’ with part of (content of) whEN CHOIR ARe sounding like ‘enquirer’, maybe I have missed something. It seems a pretty vague clue whichever. *Gaufrid suggests a reverse homophone device: a homohpone of the solution componnents EN QUIRE R gives N CHOIR ARE which is found embedded in the clue, ‘content’ indicating that not all the phrase is used. This the best solution I think.*"
215,Physio lavishly hosts return of 21’s in-laws (6),VALOIS,hidden in (hosted by) phySIO LAVishly – Henry marries Catherine of Valois
216,Knowing chief (4),ARCH,double definition
217,"Turn pulse into lovely starter (6,4)",LENTIL SOUP,"anagram (turned) of PULSE LENTIL and L (start of lovely) – definition is &lit, as an instruction to the solver to find the solution"
218,Ordered night fiers to cover unsatisfactory smears (9),BADMOUTHS,"BAD (bade, ordered) MOTHS (night fliers) containing (covering) U (unsatisfactory?) – I can’t explain why u=unsatisfactory, it is not in Chambers *See verbose @10*"
219,"Quiz showmen, maybe, from board tables (10)",PANELLISTS,PANEL (board) LISTS (tables)
220,"A million? A grand? Almost worthless! (3,1,5)",TEN A PENNY,"A double/triple definition with ‘a million’ and ‘a thousand’ being examples of ‘lots’, the cryptic element coming from a misdirection to monetary amounts. ~~This explanation seems a bit weak to me~~. * Better, if you get ten pounds for every penny £1,000 becomes £1,000,000.*"
221,"Splitter of wood on heavenly drink, we hear (1-9)",T-CONNECTOR,"~~My best atttempt is sounds like “Wyke on nectar” Wyke Wood (a woodland in Dorset)~~ sounds like “teak on nectar” (wood on heavenly drink) – definition is ‘splitter’. ~~Wyke Wood seems a bit obscure to me. Wych is a wood, but I have never heard of this being pronounced anything other than “witch”, as in Witch Hazel. Anyone have any better ideas? ~~ *Thanks to luke for this.*"
222,Two Germans ache (6),HUNGER,HUN (a German) GER (German)
223,"Loses control of scud missile successfully (4,4)",RUNS AMOK,RUN (scud) SAM (surface-to-air missile) OK (successfully)
224,"Italian martyr’s to live, apparently (2,5)",ST OLIVE,"~~anagram (apparently, in a way) of ‘S TO LIVE~~ *hidden in martyr’S TO LIVE, I am overcomplicating things here* – St Olive of Palermo"
225,Judge who should determine penalty (7),REFEREE,cryptic definition – football
226,He has one win – no-one explained racing starts (5),OWNER,"(ONE WiN)* (anagram=explained, worked out) missing I (one, Roman numeral) and R (start of racing) – definition is ‘he has’ – *or more simply One Win No-one Explained Racing (starting letters of)*"
227,"Where 21 might have ended up if he hadn’t uncovered it? (11,4)",SOUTHAMPTON PLOT,"cryptic definition – Henry V uncovered this plot to kill him at Southampton, so may have ended up in a graveyard plot there if he had failed"
228,Ben waving fare in 21’s conquest (8),HARFLEUR,FLARE* (anagram=waving) in Ben HUR – town captured by Henry V
